nom_voltage,nom_temperature,nom_process,related_pin A,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,0,1,0,0,0.256,32,0.0698773
0.850000,125.000000,1.01,1,1,0,1,0,0,0.512,32,0.0768903
0.850000,125.000000,1.01,1,1,0,1,0,0,1.024,32,0.0806100
0.850000,125.000000,1.01,1,1,0,1,0,0,0.016,64,  0.1113973
0.850000,125.000000,1.01,1,1,0,1,0,0,0.032,64,0.1125774
0.850000,125.000000,1.01,1,1,0,1,0,0,0.064,64,0.1130957
0.850000,125.000000,1.01,1,1,0,1,0,0,0.128,64,0.1148842
0.850000,125.000000,1.01,1,1,0,1,0,0,0.256,64,0.1192862
0.850000,125.000000,1.01,1,1,0,1,0,0,0.512,64,0.1260429
0.850000,125.000000,1.01,1,1,0,1,0,0,1.024,64,0.1299294
0.850000,125.000000,1.01,1,1,0,1,0,0,0.016,82,  0.2053501
0.850000,125.000000,1.01,1,1,0,1,0,0,0.032,82,0.2061726
0.850000,125.000000,1.01,1,1,0,1,0,0,0.064,82,0.2071977
0.850000,125.000000,1.01,1,1,0,1,0,0,0.128,82,0.2097489
0.850000,125.000000,1.01,1,1,0,1,0,0,0.256,82,0.2131560
0.850000,125.000000,1.01,1,1,0,1,0,0,0.512,82,0.2200643
0.850000,125.000000,1.01,1,1,0,1,0,0,1.024,82,0.2250642
0.850000,125.000000,1.01,1,1,0,0,1,0,0.016,0.1,0.0221451
0.850000,125.000000,1.01,1,1,0,0,1,0,0.032,0.1,0.0234363
0.850000,125.000000,1.01,1,1,0,0,1,0,0.064,0.1,0.0247033
0.850000,125.000000,1.01,1,1,0,0,1,0,0.128,0.1,0.0270871
0.850000,125.000000,1.01,1,1,0,0,1,0,0.256,0.1,0.0314723
0.850000,125.000000,1.01,1,1,0,0,1,0,0.512,0.1,0.0395209
0.850000,125.000000,1.01,1,1,0,0,1,0,1.024,0.1,0.0438629
0.850000,125.000000,1.01,1,1,0,0,1,0,0.016,4,  0.0270945
0.850000,125.000000,1.01,1,1,0,0,1,0,0.032,4,0.0284299
0.850000,125.000000,1.01,1,1,0,0,1,0,0.064,4,0.0297250
0.850000,125.000000,1.01,1,1,0,0,1,0,0.128,4,0.0321881
0.850000,125.000000,1.01,1,1,0,0,1,0,0.256,4,0.0365289
0.850000,125.000000,1.01,1,1,0,0,1,0,0.512,4,0.0444393
0.850000,125.000000,1.01,1,1,0,0,1,0,1.024,4,0.0486918
0.850000,125.000000,1.01,1,1,0,0,1,0,0.016,8,  0.0336404
0.850000,125.000000,1.01,1,1,0,0,1,0,0.032,8,0.0350726
0.850000,125.000000,1.01,1,1,0,0,1,0,0.064,8,0.0364577
0.850000,125.000000,1.01,1,1,0,0,1,0,0.128,8,0.0391061
0.850000,125.000000,1.01,1,1,0,0,1,0,0.256,8,0.0439619
0.850000,125.000000,1.01,1,1,0,0,1,0,0.512,8,0.0525865
0.850000,125.000000,1.01,1,1,0,0,1,0,1.024,8,0.0570343
0.850000,125.000000,1.01,1,1,0,0,1,0,0.016,16,  0.0423322
0.850000,125.000000,1.01,1,1,0,0,1,0,0.032,16,0.0439389
0.850000,125.000000,1.01,1,1,0,0,1,0,0.064,16,0.0454634
0.850000,125.000000,1.01,1,1,0,0,1,0,0.128,16,0.0484520
0.850000,125.000000,1.01,1,1,0,0,1,0,0.256,16,0.0539757
0.850000,125.000000,1.01,1,1,0,0,1,0,0.512,16,0.0639389
0.850000,125.000000,1.01,1,1,0,0,1,0,1.024,16,0.0689743
0.850000,125.000000,1.01,1,1,0,0,1,0,0.016,32,  0.0534221
0.850000,125.000000,1.01,1,1,0,0,1,0,0.032,32,0.0551101
0.850000,125.000000,1.01,1,1,0,0,1,0,0.064,32,0.0567987
0.850000,125.000000,1.01,1,1,0,0,1,0,0.128,32,0.0601476
0.850000,125.000000,1.01,1,1,0,0,1,0,0.256,32,0.0663183
0.850000,125.000000,1.01,1,1,0,0,1,0,0.512,32,0.0779459
0.850000,125.000000,1.01,1,1,0,0,1,0,1.024,32,0.0842107
0.850000,125.000000,1.01,1,1,0,0,1,0,0.016,64,  0.0688729
0.850000,125.000000,1.01,1,1,0,0,1,0,0.032,64,0.0707506
0.850000,125.000000,1.01,1,1,0,0,1,0,0.064,64,0.0726612
0.850000,125.000000,1.01,1,1,0,0,1,0,0.128,64,0.0764312
0.850000,125.000000,1.01,1,1,0,0,1,0,0.256,64,0.0837376
0.850000,125.000000,1.01,1,1,0,0,1,0,0.512,64,0.0970207
0.850000,125.000000,1.01,1,1,0,0,1,0,1.024,64,0.1041612
0.850000,125.000000,1.01,1,1,0,0,1,0,0.016,82,  0.0927576
0.850000,125.000000,1.01,1,1,0,0,1,0,0.032,82,0.0947754
0.850000,125.000000,1.01,1,1,0,0,1,0,0.064,82,0.0968328
0.850000,125.000000,1.01,1,1,0,0,1,0,0.128,82,0.1009168
0.850000,125.000000,1.01,1,1,0,0,1,0,0.256,82,0.1089271
0.850000,125.000000,1.01,1,1,0,0,1,0,0.512,82,0.1253640
0.850000,125.000000,1.01,1,1,0,0,1,0,1.024,82,0.1338879
0.850000,125.000000,1.01,1,1,0,0,0,1,0.016,0.1,0.0129301
0.850000,125.000000,1.01,1,1,0,0,0,1,0.032,0.1,0.0138394
0.850000,125.000000,1.01,1,1,0,0,0,1,0.064,0.1,0.0148336
0.850000,125.000000,1.01,1,1,0,0,0,1,0.128,0.1,0.0170613
0.850000,125.000000,1.01,1,1,0,0,0,1,0.256,0.1,0.0220457
0.850000,125.000000,1.01,1,1,0,0,0,1,0.512,0.1,0.0329456
0.850000,125.000000,1.01,1,1,0,0,0,1,1.024,0.1,0.0394806
0.850000,125.000000,1.01,1,1,0,0,0,1,0.016,4,  0.0168635
0.850000,125.000000,1.01,1,1,0,0,0,1,0.032,4,0.0175132
0.850000,125.000000,1.01,1,1,0,0,0,1,0.064,4,0.0183982
0.850000,125.000000,1.01,1,1,0,0,0,1,0.128,4,0.0202188
0.850000,125.000000,1.01,1,1,0,0,0,1,0.256,4,0.0245036
0.850000,125.000000,1.01,1,1,0,0,0,1,0.512,4,0.0344525
0.850000,125.000000,1.01,1,1,0,0,0,1,1.024,4,0.0406634
0.850000,125.000000,1.01,1,1,0,0,0,1,0.016,8,  0.0250015
0.850000,125.000000,1.01,1,1,0,0,0,1,0.032,8,0.0256640
0.850000,125.000000,1.01,1,1,0,0,0,1,0.064,8,0.0265275
0.850000,125.000000,1.01,1,1,0,0,0,1,0.128,8,0.0282087
0.850000,125.000000,1.01,1,1,0,0,0,1,0.256,8,0.0319838
0.850000,125.000000,1.01,1,1,0,0,0,1,0.512,8,0.0404805
0.850000,125.000000,1.01,1,1,0,0,0,1,1.024,8,0.0458017
0.850000,125.000000,1.01,1,1,0,0,0,1,0.016,16,  0.0396280
0.850000,125.000000,1.01,1,1,0,0,0,1,0.032,16,0.0404607
0.850000,125.000000,1.01,1,1,0,0,0,1,0.064,16,0.0409801
0.850000,125.000000,1.01,1,1,0,0,0,1,0.128,16,0.0427070
0.850000,125.000000,1.01,1,1,0,0,0,1,0.256,16,0.0461793
0.850000,125.000000,1.01,1,1,0,0,0,1,0.512,16,0.0541836
0.850000,125.000000,1.01,1,1,0,0,0,1,1.024,16,0.0590743
