nom_voltage,nom_temperature,nom_process,related_pin A,timing_type combinational,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.016,0.1,0.0227585
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.032,0.1,0.0237918
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.064,0.1,0.0248806
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.128,0.1,0.0269367
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.256,0.1,0.0307194
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.512,0.1,0.0376848
0.850000,125.000000,1.01,1,1,1,1,0,0,0,1.024,0.1,0.0506265
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.016,1, 0.0255878
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.032,1,0.0266301
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.064,1,0.0277458
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.128,1,0.0297884
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.256,1,0.0335434
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.512,1,0.0403838
0.850000,125.000000,1.01,1,1,1,1,0,0,0,1.024,1,0.0531821
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.016,2, 0.0277046
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.032,2,0.0287888
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.064,2,0.0299611
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.128,2,0.0322174
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.256,2,0.0362448
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.512,2,0.0433779
0.850000,125.000000,1.01,1,1,1,1,0,0,0,1.024,2,0.0564329
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.016,4, 0.0273654
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.032,4,0.0286270
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.064,4,0.0299796
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.128,4,0.0325248
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.256,4,0.0371369
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.512,4,0.0453730
0.850000,125.000000,1.01,1,1,1,1,0,0,0,1.024,4,0.0595043
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.016,8, 0.0212401
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.032,8,0.0226215
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.064,8,0.0241165
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.128,8,0.0270205
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.256,8,0.0324917
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.512,8,0.0421883
0.850000,125.000000,1.01,1,1,1,1,0,0,0,1.024,8,0.0590229
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.016,16, 0.0023738
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.032,16,0.0039602
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.064,16,0.0057105
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.128,16,0.0091446
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.256,16,0.0155698
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.512,16,0.0277380
0.850000,125.000000,1.01,1,1,1,1,0,0,0,1.024,16,0.0480410
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.016,32, -0.0409379
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.032,32,-0.0391785
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.064,32,-0.0372347
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.128,32,-0.0333863
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.256,32,-0.0258772
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.512,32,-0.0118151
0.850000,125.000000,1.01,1,1,1,1,0,0,0,1.024,32,0.0144370
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.016,0.1,0.0143542
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.032,0.1,0.0150591
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.064,0.1,0.0159799
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.128,0.1,0.0178373
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.256,0.1,0.0219245
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.512,0.1,0.0306526
0.850000,125.000000,1.01,1,1,1,0,1,0,0,1.024,0.1,0.0493697
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.016,1, 0.0177428
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.032,1,0.0182961
