nom_voltage,nom_temperature,nom_process,related_pin A1,related_pin A2,related_pin A3,related_pin A4,timing_type combinational,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.064,1,0.0371039
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.128,1,0.0388108
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.256,1,0.0420498
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.512,1,0.0497504
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,1.024,1,0.0665916
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.016,2, 0.0464954
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.032,2,0.0469691
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.064,2,0.0475966
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.128,2,0.0490099
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.256,2,0.0518511
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.512,2,0.0590186
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,1.024,2,0.0741105
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.016,4, 0.0669306
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.032,4,0.0674026
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.064,4,0.0679816
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.128,4,0.0691764
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.256,4,0.0712786
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.512,4,0.0778688
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,1.024,4,0.0912739
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.016,8, 0.1036439
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.032,8,0.1051914
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.064,8,0.1055143
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.128,8,0.1065610
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.256,8,0.1096788
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.512,8,0.1159483
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,1.024,8,0.1276569
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.016,16, 0.1749478
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.032,16,0.1756215
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.064,16,0.1756215
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.128,16,0.1767188
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.256,16,0.1812811
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.512,16,0.1880778
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,1.024,16,0.2014807
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.016,0.1,0.0349359
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.032,0.1,0.0360831
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.064,0.1,0.0374676
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.128,0.1,0.0400560
