nom_voltage,nom_temperature,nom_process,related_pin CLK,timing_type setup_falling,rise_constraint,fall_constraint,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0160000,0.0271757
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0160000,0.0309614
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0160000,0.0380536
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0160000,0.0444020
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0160000,0.0495763
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0160000,0.0568873
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0160000,0.0588996
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0320000, 0.0237447
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0320000,0.0273625
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0320000,0.0307438
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0320000,0.0371329
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0320000,0.0427879
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0320000,0.0495928
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0320000,0.0475751
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0640000, 0.0163777
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0640000,0.0199977
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0640000,0.0233806
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0640000,0.0300372
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0640000,0.0353915
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0640000,0.0382865
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0640000,0.0323498
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.1280000, 0.0059292
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.1280000,0.0094401
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.1280000,0.0131786
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.1280000,0.0193881
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.1280000,0.0248868
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.1280000,0.0238774
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.1280000,0.0101410
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.2560000, -0.0033323
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.2560000,0.0002353
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.2560000,0.0033745
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.2560000,0.0101354
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.2560000,0.0114823
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.2560000,0.0107099
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.2560000,-0.0108210
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.5120000, -0.0179480
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.5120000,-0.0104843
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.5120000,-0.0109654
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.5120000,-0.0011251
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.5120000,0.0004815
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.5120000,0.0000000e+00
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.5120000,-0.0254551
0.850000,125.000000,1.01,1,1,1,0,0.0160000,1.0240000, -0.0353628
0.850000,125.000000,1.01,1,1,1,0,0.0320000,1.0240000,-0.0317757
0.850000,125.000000,1.01,1,1,1,0,0.0640000,1.0240000,-0.0246032
