nom_voltage,nom_temperature,nom_process,related_pin SAVE,related_pin CLK,timing_type removal_falling,timing_type removal_rising,fall_constraint,rise_constraint,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,1,0,1,0,0.0160000,0.0160000,-0.7852700
0.850000,125.000000,1.01,1,0,1,0,1,0,0.0320000,0.0160000,-0.7888348
0.850000,125.000000,1.01,1,0,1,0,1,0,0.0640000,0.0160000,-0.8000084
0.850000,125.000000,1.01,1,0,1,0,1,0,0.1280000,0.0160000,-0.8180470
0.850000,125.000000,1.01,1,0,1,0,1,0,0.2560000,0.0160000,-0.8432818
0.850000,125.000000,1.01,1,0,1,0,1,0,0.5120000,0.0160000,-0.8852417
0.850000,125.000000,1.01,1,0,1,0,1,0,1.0240000,0.0160000,-0.9457241
0.850000,125.000000,1.01,1,0,1,0,1,0,0.0160000,0.0320000, -0.7857217
0.850000,125.000000,1.01,1,0,1,0,1,0,0.0320000,0.0320000,-0.7892865
0.850000,125.000000,1.01,1,0,1,0,1,0,0.0640000,0.0320000,-0.7965539
0.850000,125.000000,1.01,1,0,1,0,1,0,0.1280000,0.0320000,-0.8145924
0.850000,125.000000,1.01,1,0,1,0,1,0,0.2560000,0.0320000,-0.8437334
0.850000,125.000000,1.01,1,0,1,0,1,0,0.5120000,0.0320000,-0.8856934
0.850000,125.000000,1.01,1,0,1,0,1,0,1.0240000,0.0320000,-0.9422695
0.850000,125.000000,1.01,1,0,1,0,1,0,0.0160000,0.0640000, -0.7824281
0.850000,125.000000,1.01,1,0,1,0,1,0,0.0320000,0.0640000,-0.7859929
0.850000,125.000000,1.01,1,0,1,0,1,0,0.0640000,0.0640000,-0.7972762
0.850000,125.000000,1.01,1,0,1,0,1,0,0.1280000,0.0640000,-0.8153047
0.850000,125.000000,1.01,1,0,1,0,1,0,0.2560000,0.0640000,-0.8443461
0.850000,125.000000,1.01,1,0,1,0,1,0,0.5120000,0.0640000,-0.8823998
0.850000,125.000000,1.01,1,0,1,0,1,0,1.0240000,0.0640000,-0.9428822
0.850000,125.000000,1.01,1,0,1,0,1,0,0.0160000,0.1280000, -0.7835881
0.850000,125.000000,1.01,1,0,1,0,1,0,0.0320000,0.1280000,-0.7875158
0.850000,125.000000,1.01,1,0,1,0,1,0,0.0640000,0.1280000,-0.7983266
0.850000,125.000000,1.01,1,0,1,0,1,0,0.1280000,0.1280000,-0.8163652
0.850000,125.000000,1.01,1,0,1,0,1,0,0.2560000,0.1280000,-0.8455062
0.850000,125.000000,1.01,1,0,1,0,1,0,0.5120000,0.1280000,-0.8836534
0.850000,125.000000,1.01,1,0,1,0,1,0,1.0240000,0.1280000,-0.9440422
0.850000,125.000000,1.01,1,0,1,0,1,0,0.0160000,0.2560000, -0.7936986
0.850000,125.000000,1.01,1,0,1,0,1,0,0.0320000,0.2560000,-0.7972634
0.850000,125.000000,1.01,1,0,1,0,1,0,0.0640000,0.2560000,-0.8049020
0.850000,125.000000,1.01,1,0,1,0,1,0,0.1280000,0.2560000,-0.8233729
0.850000,125.000000,1.01,1,0,1,0,1,0,0.2560000,0.2560000,-0.8516187
0.850000,125.000000,1.01,1,0,1,0,1,0,0.5120000,0.2560000,-0.8900716
0.850000,125.000000,1.01,1,0,1,0,1,0,1.0240000,0.2560000,-0.9501809
0.850000,125.000000,1.01,1,0,1,0,1,0,0.0160000,0.5120000, -0.8071446
0.850000,125.000000,1.01,1,0,1,0,1,0,0.0320000,0.5120000,-0.8107125
0.850000,125.000000,1.01,1,0,1,0,1,0,0.0640000,0.5120000,-0.8218599
0.850000,125.000000,1.01,1,0,1,0,1,0,0.1280000,0.5120000,-0.8363911
0.850000,125.000000,1.01,1,0,1,0,1,0,0.2560000,0.5120000,-0.8653079
0.850000,125.000000,1.01,1,0,1,0,1,0,0.5120000,0.5120000,-0.9029325
0.850000,125.000000,1.01,1,0,1,0,1,0,1.0240000,0.5120000,-0.9679100
0.850000,125.000000,1.01,1,0,1,0,1,0,0.0160000,1.0240000, -0.8407306
0.850000,125.000000,1.01,1,0,1,0,1,0,0.0320000,1.0240000,-0.8446460
0.850000,125.000000,1.01,1,0,1,0,1,0,0.0640000,1.0240000,-0.8550550
0.850000,125.000000,1.01,1,0,1,0,1,0,0.1280000,1.0240000,-0.8736984
0.850000,125.000000,1.01,1,0,1,0,1,0,0.2560000,1.0240000,-0.8991234
0.850000,125.000000,1.01,1,0,1,0,1,0,0.5120000,1.0240000,-0.9356114
0.850000,125.000000,1.01,1,0,1,0,1,0,1.0240000,1.0240000,-0.9967699
0.850000,125.000000,1.01,0,1,0,1,0,1,0.0160000,0.0160000,0.0194012
0.850000,125.000000,1.01,0,1,0,1,0,1,0.0320000,0.0160000,0.0198281
0.850000,125.000000,1.01,0,1,0,1,0,1,0.0640000,0.0160000,0.0163730
0.850000,125.000000,1.01,0,1,0,1,0,1,0.1280000,0.0160000,0.0098328
0.850000,125.000000,1.01,0,1,0,1,0,1,0.2560000,0.0160000,0.0005716
0.850000,125.000000,1.01,0,1,0,1,0,1,0.5120000,0.0160000,-0.0179509
0.850000,125.000000,1.01,0,1,0,1,0,1,1.0240000,0.0160000,-0.0699799
0.850000,125.000000,1.01,0,1,0,1,0,1,0.0160000,0.0320000, 0.0229913
0.850000,125.000000,1.01,0,1,0,1,0,1,0.0320000,0.0320000,0.0234759
0.850000,125.000000,1.01,0,1,0,1,0,1,0.0640000,0.0320000,0.0200416
0.850000,125.000000,1.01,0,1,0,1,0,1,0.1280000,0.0320000,0.0133143
