nom_voltage,nom_temperature,nom_process,related_pin D,related_pin ISO,timing_type combinational,timing_sense positive_unate,timing_sense negative_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.016,0.1,0.0224081
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.032,0.1,0.0231294
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.064,0.1,0.0242834
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.128,0.1,0.0264458
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.256,0.1,0.0304200
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.512,0.1,0.0376434
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,1.024,0.1,0.0509546
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.016,0.25, 0.0235762
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.032,0.25,0.0243241
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.064,0.25,0.0255133
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.128,0.25,0.0277201
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.256,0.25,0.0317640
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.512,0.25,0.0390213
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,1.024,0.25,0.0523462
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.016,0.5, 0.0233720
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.032,0.5,0.0241765
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.064,0.5,0.0254366
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.128,0.5,0.0277644
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.256,0.5,0.0319930
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.512,0.5,0.0395146
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,1.024,0.5,0.0531553
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.016,1, 0.0193455
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.032,1,0.0202561
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.064,1,0.0217185
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.128,1,0.0244314
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.256,1,0.0292925
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.512,1,0.0378495
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,1.024,1,0.0524070
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.016,2, 0.0072790
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.032,2,0.0082962
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.064,2,0.0099411
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.128,2,0.0130705
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.256,2,0.0188335
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.512,2,0.0288663
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,1.024,2,0.0461802
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.016,4, -0.0219032
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.032,4,-0.0207341
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.064,4,-0.0188260
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.128,4,-0.0151524
