nom_voltage,nom_temperature,nom_process,related_pin A2,related_pin S0,timing_sense positive_unate,timing_sense non_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.016,0.1,0.0396109
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.032,0.1,0.0405056
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.064,0.1,0.0419342
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.128,0.1,0.0445947
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.256,0.1,0.0493787
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.512,0.1,0.0577577
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,1.024,0.1,0.0725927
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.016,0.25, 0.0426540
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.032,0.25,0.0435089
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.064,0.25,0.0448793
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.128,0.25,0.0474554
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.256,0.25,0.0521324
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.512,0.25,0.0604603
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,1.024,0.25,0.0752604
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.016,0.5, 0.0467254
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.032,0.5,0.0476136
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.064,0.5,0.0490149
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.128,0.5,0.0516318
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.256,0.5,0.0564264
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.512,0.5,0.0648298
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,1.024,0.5,0.0795682
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.016,1, 0.0501656
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.032,1,0.0511326
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.064,1,0.0526821
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.128,1,0.0554966
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.256,1,0.0605867
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.512,1,0.0695362
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,1.024,1,0.0849443
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.016,2, 0.0496311
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.032,2,0.0506617
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.064,2,0.0523374
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.128,2,0.0555265
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.256,2,0.0617386
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.512,2,0.0719128
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,1.024,2,0.0893794
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.016,4, 0.0396220
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.032,4,0.0407409
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.064,4,0.0425812
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.128,4,0.0461635
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.256,4,0.0529360
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.512,4,0.0650674
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,1.024,4,0.0864389
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.016,8, 0.0102024
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.032,8,0.0114080
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.064,8,0.0134049
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.128,8,0.0173434
