nom_voltage,nom_temperature,nom_process,related_pin D,related_pin ISO,timing_type combinational,timing_sense positive_unate,timing_sense negative_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.016,0.1,0.0566978
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.032,0.1,0.0579614
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.064,0.1,0.0592151
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.128,0.1,0.0616814
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.256,0.1,0.0664935
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.512,0.1,0.0751940
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,1.024,0.1,0.0906700
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.016,2, 0.0592012
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.032,2,0.0603900
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.064,2,0.0616310
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.128,2,0.0641479
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.256,2,0.0687999
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.512,2,0.0774146
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,1.024,2,0.0928868
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.016,4, 0.0648864
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.032,4,0.0660973
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.064,4,0.0673388
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.128,4,0.0697453
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.256,4,0.0742616
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.512,4,0.0825466
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,1.024,4,0.0975480
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.016,8, 0.0704306
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.032,8,0.0716181
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.064,8,0.0728498
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.128,8,0.0752732
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.256,8,0.0798974
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.512,8,0.0882317
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,1.024,8,0.1033591
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.016,16, 0.0706379
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.032,16,0.0718134
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.064,16,0.0730950
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.128,16,0.0760847
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.256,16,0.0810061
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.512,16,0.0902388
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,1.024,16,0.1065474
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.016,32, 0.0570640
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.032,32,0.0584354
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.064,32,0.0598910
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.128,32,0.0627776
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.256,32,0.0682381
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.512,32,0.0793306
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,1.024,32,0.0980092
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.016,64, 0.0123896
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.032,64,0.0139257
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.064,64,0.0155232
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.128,64,0.0187534
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.256,64,0.0252036
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.512,64,0.0372887
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,1.024,64,0.0603355
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.016,0.1,0.0447806
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.032,0.1,0.0455957
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.064,0.1,0.0460773
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.128,0.1,0.0475428
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.256,0.1,0.0511743
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.512,0.1,0.0586011
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,1.024,0.1,0.0750087
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.016,2, 0.0447706
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.032,2,0.0453599
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.064,2,0.0462128
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.128,2,0.0476747
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.256,2,0.0511411
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.512,2,0.0589514
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,1.024,2,0.0754201
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.016,4, 0.0483448
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.032,4,0.0488999
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.064,4,0.0495439
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.128,4,0.0511894
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.256,4,0.0544074
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.512,4,0.0614334
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,1.024,4,0.0774597
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.016,8, 0.0621698
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.032,8,0.0624978
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.064,8,0.0628702
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.128,8,0.0641042
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.256,8,0.0668597
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.512,8,0.0727878
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,1.024,8,0.0863421
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.016,16, 0.0866804
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.032,16,0.0871998
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.064,16,0.0877705
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.128,16,0.0895441
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.256,16,0.0917419
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.512,16,0.0969483
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,1.024,16,0.1087763
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.016,32, 0.1327486
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.032,32,0.1335262
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.064,32,0.1339238
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.128,32,0.1346217
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.256,32,0.1373495
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.512,32,0.1440000
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,1.024,32,0.1556257
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.016,64, 0.2189977
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.032,64,0.2197689
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.064,64,0.2204559
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.128,64,0.2223591
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.256,64,0.2242427
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.512,64,0.2299344
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,1.024,64,0.2446365
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.016,0.1,0.0525683
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.032,0.1,0.0538552
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.064,0.1,0.0552150
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.128,0.1,0.0579257
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.256,0.1,0.0631817
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.512,0.1,0.0729172
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,1.024,0.1,0.0904233
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.016,2, 0.0585354
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.032,2,0.0597688
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.064,2,0.0611209
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.128,2,0.0638217
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.256,2,0.0690191
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.512,2,0.0786362
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,1.024,2,0.0960211
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.016,4, 0.0717355
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.032,4,0.0729718
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.064,4,0.0742670
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.128,4,0.0768369
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.256,4,0.0817714
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.512,4,0.0910971
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,1.024,4,0.1079975
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.016,8, 0.0942533
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.032,8,0.0955155
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.064,8,0.0968896
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.128,8,0.0996464
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.256,8,0.1049215
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.512,8,0.1146087
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,1.024,8,0.1319361
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.016,16, 0.1274347
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.032,16,0.1288141
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.064,16,0.1303641
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.128,16,0.1332753
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.256,16,0.1391521
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.512,16,0.1498498
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,1.024,16,0.1690983
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.016,32, 0.1795450
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.032,32,0.1807581
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.064,32,0.1823502
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.128,32,0.1854970
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.256,32,0.1917536
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.512,32,0.2041266
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,1.024,32,0.2262760
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.016,64, 0.2638851
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.032,64,0.2655539
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.064,64,0.2673458
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.128,64,0.2710342
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.256,64,0.2785064
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.512,64,0.2922785
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,1.024,64,0.3178907
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,0.016,0.1,0.0396917
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,0.032,0.1,0.0400079
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,0.064,0.1,0.0406742
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,0.128,0.1,0.0420168
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,0.256,0.1,0.0453852
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,0.512,0.1,0.0538696
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,1.024,0.1,0.0735603
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,0.016,2, 0.0396476
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,0.032,2,0.0403503
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,0.064,2,0.0407781
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,0.128,2,0.0421486
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,0.256,2,0.0455759
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,0.512,2,0.0541796
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,1.024,2,0.0740156
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,0.016,4, 0.0426185
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,0.032,4,0.0431436
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,0.064,4,0.0437328
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,0.128,4,0.0450643
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,0.256,4,0.0483343
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,0.512,4,0.0562638
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,1.024,4,0.0752818
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,0.016,8, 0.0595597
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,0.032,8,0.0595597
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,0.064,8,0.0596828
