nom_voltage,nom_temperature,nom_process,related_pin A1,related_pin A2,timing_type combinational,timing_sense negative_unate,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.016,0.1,0.0475455
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.032,0.1,0.0487744
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.064,0.1,0.0502090
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.128,0.1,0.0529125
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.256,0.1,0.0578235
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.512,0.1,0.0663606
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,1.024,0.1,0.0813668
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.016,0.5, 0.0510097
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.032,0.5,0.0522319
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.064,0.5,0.0536622
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.128,0.5,0.0563748
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.256,0.5,0.0612212
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.512,0.5,0.0697167
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,1.024,0.5,0.0847800
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.016,1, 0.0567757
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.032,1,0.0580043
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.064,1,0.0594464
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.128,1,0.0620866
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.256,1,0.0668835
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.512,1,0.0753082
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,1.024,1,0.0902781
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.016,2, 0.0657778
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.032,2,0.0669933
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.064,2,0.0685317
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.128,2,0.0712301
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.256,2,0.0759618
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.512,2,0.0843942
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,1.024,2,0.0993655
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.016,4, 0.0787886
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.032,4,0.0800732
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.064,4,0.0816096
