nom_voltage,nom_temperature,nom_process,related_pin A1,related_pin A2,related_pin A3,related_pin A4,related_pin A5,related_pin A6,timing_type combinational,timing_sense negative_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.256,0.25,0.0205727
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.512,0.25,0.0293438
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,1.024,0.25,0.0483899
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.016,0.5, 0.0146566
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.032,0.5,0.0151586
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.064,0.5,0.0160004
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.128,0.5,0.0177254
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.256,0.5,0.0215860
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.512,0.5,0.0300141
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,1.024,0.5,0.0487664
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.016,1, 0.0183549
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.032,1,0.0188807
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.064,1,0.0196339
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.128,1,0.0211950
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.256,1,0.0247776
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.512,1,0.0326411
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,1.024,1,0.0505258
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.016,2, 0.0255004
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.032,2,0.0260006
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.064,2,0.0267483
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.128,2,0.0282385
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.256,2,0.0319033
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.512,2,0.0391284
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,1.024,2,0.0557283
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.016,4, 0.0380847
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.032,4,0.0385252
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.064,4,0.0392944
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.128,4,0.0408578
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.256,4,0.0446209
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.512,4,0.0515748
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,1.024,4,0.0672373
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.016,8, 0.0592801
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.032,8,0.0600563
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.064,8,0.0608887
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.128,8,0.0628256
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.256,8,0.0668316
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.512,8,0.0739131
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,1.024,8,0.0890285
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,1,0,0.016,0.1,0.0758211
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,1,0,0.032,0.1,0.0767284
