nom_voltage,nom_temperature,nom_process,related_pin A1,related_pin A2,timing_type combinational,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.032,1,0.0319831
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.064,1,0.0328193
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.128,1,0.0344777
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.256,1,0.0378916
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.512,1,0.0449421
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,1.024,1,0.0606319
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.016,2, 0.0500941
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.032,2,0.0504924
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.064,2,0.0510762
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.128,2,0.0523861
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.256,2,0.0555794
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.512,2,0.0628404
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,1.024,2,0.0776051
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.016,4, 0.0832774
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.032,4,0.0838067
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.064,4,0.0852788
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.128,4,0.0870046
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.256,4,0.0907531
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.512,4,0.0977534
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,1.024,4,0.1120214
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.016,8, 0.1498268
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.032,8,0.1501740
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.064,8,0.1516259
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.128,8,0.1528837
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.256,8,0.1555738
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.512,8,0.1632381
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,1.024,8,0.1788661
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.016,0.1,0.0239130
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.032,0.1,0.0247058
