nom_voltage,nom_temperature,nom_process,related_pin A1,related_pin A2,timing_type combinational,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.016,0.1,0.0222266
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.032,0.1,0.0229460
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.064,0.1,0.0240977
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.128,0.1,0.0262580
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.256,0.1,0.0302320
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.512,0.1,0.0374640
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,1.024,0.1,0.0508379
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.016,0.25, 0.0233764
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.032,0.25,0.0241240
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.064,0.25,0.0253166
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.128,0.25,0.0275274
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.256,0.25,0.0315794
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.512,0.25,0.0388656
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,1.024,0.25,0.0522553
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.016,0.5, 0.0232818
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.032,0.5,0.0240854
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.064,0.5,0.0253586
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.128,0.5,0.0276999
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.256,0.5,0.0320106
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.512,0.5,0.0395080
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,1.024,0.5,0.0532982
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.016,1, 0.0196093
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.032,1,0.0205322
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.064,1,0.0220022
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.128,1,0.0247356
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.256,1,0.0296332
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.512,1,0.0381538
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,1.024,1,0.0530272
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.016,2, 0.0085917
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.032,2,0.0096225
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.064,2,0.0112925
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.128,2,0.0143809
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.256,2,0.0202829
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.512,2,0.0304244
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,1.024,2,0.0479443
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.016,4, -0.0180836
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.032,4,-0.0169005
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.064,4,-0.0149723
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.128,4,-0.0111995
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.256,4,-0.0042705
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.512,4,0.0086323
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,1.024,4,0.0297155
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.016,8, -0.0740405
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.032,8,-0.0727904
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.064,8,-0.0706302
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.128,8,-0.0658622
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.256,8,-0.0580730
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.512,8,-0.0435077
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,1.024,8,-0.0172538
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.016,0.1,0.0130667
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.032,0.1,0.0136802
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.064,0.1,0.0146909
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.128,0.1,0.0168130
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.256,0.1,0.0212400
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.512,0.1,0.0303747
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,1.024,0.1,0.0499508
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.016,0.25, 0.0157912
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.032,0.25,0.0163254
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.064,0.25,0.0172458
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.128,0.25,0.0191970
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.256,0.25,0.0232153
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.512,0.25,0.0318926
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,1.024,0.25,0.0506521
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.016,0.5, 0.0211556
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.032,0.5,0.0216485
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.064,0.5,0.0224578
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.128,0.5,0.0241194
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.256,0.5,0.0278391
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.512,0.5,0.0359851
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,1.024,0.5,0.0537953
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.016,1, 0.0314568
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.032,1,0.0319697
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.064,1,0.0328283
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.128,1,0.0345444
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.256,1,0.0381449
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.512,1,0.0457052
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,1.024,1,0.0625700
