nom_voltage,nom_temperature,nom_process,related_pin CLK,timing_type setup_rising,rise_constraint,fall_constraint,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0160000,0.0469412
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0160000,0.0503825
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0160000,0.0576936
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0160000,0.0639485
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0160000,0.0768285
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0160000,0.0912389
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0160000,0.1170298
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0320000, 0.0432059
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0320000,0.0467428
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0320000,0.0540497
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0320000,0.0604748
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0320000,0.0733471
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0320000,0.0877260
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0320000,0.1097884
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0640000, 0.0439605
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0640000,0.0474894
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0640000,0.0508739
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0640000,0.0613748
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0640000,0.0707522
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0640000,0.0854353
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0640000,0.1068501
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.1280000, 0.0449277
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.1280000,0.0484694
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.1280000,0.0519635
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.1280000,0.0588176
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.1280000,0.0683336
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.1280000,0.0828312
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.1280000,0.1004085
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.2560000, 0.0513555
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.2560000,0.0549503
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.2560000,0.0622680
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.2560000,0.0689519
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.2560000,0.0777949
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.2560000,0.0930620
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.2560000,0.0952449
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.5120000, 0.0718955
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.5120000,0.0754863
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.5120000,0.0827251
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.5120000,0.0886498
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.5120000,0.1057958
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.5120000,0.1204010
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.5120000,0.1469651
0.850000,125.000000,1.01,1,1,1,0,0.0160000,1.0240000, 0.1129757
