nom_voltage,nom_temperature,nom_process,related_pin A2,related_pin S0,timing_sense positive_unate,timing_sense non_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.016,0.1,0.0432483
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.032,0.1,0.0444885
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.064,0.1,0.0459681
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.128,0.1,0.0487053
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.256,0.1,0.0537620
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.512,0.1,0.0625426
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,1.024,0.1,0.0779606
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.016,0.5, 0.0461935
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.032,0.5,0.0474084
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.064,0.5,0.0488679
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.128,0.5,0.0515855
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.256,0.5,0.0565124
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.512,0.5,0.0652145
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,1.024,0.5,0.0805661
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.016,1, 0.0516342
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.032,1,0.0528468
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.064,1,0.0543105
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.128,1,0.0570561
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.256,1,0.0620401
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.512,1,0.0706481
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,1.024,1,0.0857347
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.016,2, 0.0573093
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.032,2,0.0586017
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.064,2,0.0601325
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.128,2,0.0630298
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.256,2,0.0682071
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.512,2,0.0773131
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,1.024,2,0.0930695
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.016,4, 0.0607605
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.032,4,0.0621316
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.064,4,0.0638079
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.128,4,0.0669938
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.256,4,0.0733159
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.512,4,0.0836380
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,1.024,4,0.1016046
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0,0.016,8, 0.0578962
