nom_voltage,nom_temperature,nom_process,related_pin A1,related_pin A2,timing_type combinational,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.128,4,0.0486448
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.256,4,0.0512617
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.512,4,0.0578991
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,1.024,4,0.0727327
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.016,8, 0.0689211
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.032,8,0.0694852
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.064,8,0.0701119
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.128,8,0.0719276
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.256,8,0.0743463
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.512,8,0.0803391
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,1.024,8,0.0941666
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.016,16, 0.1119087
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.032,16,0.1126476
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.064,16,0.1128260
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.128,16,0.1140766
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.256,16,0.1174054
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.512,16,0.1245761
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,1.024,16,0.1372044
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.016,32, 0.1948939
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.032,32,0.1954953
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.064,32,0.1962403
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.128,32,0.1972632
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.256,32,0.2000937
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.512,32,0.2065729
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,1.024,32,0.2230861
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.016,0.1,0.0364455
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.032,0.1,0.0377521
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.064,0.1,0.0391657
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.128,0.1,0.0418788
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.256,0.1,0.0469124
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.512,0.1,0.0560275
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,1.024,0.1,0.0724078
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.016,1, 0.0428155
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.032,1,0.0440818
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.064,1,0.0454444
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.128,1,0.0480742
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.256,1,0.0529868
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.512,1,0.0619065
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,1.024,1,0.0781243
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.016,2, 0.0550230
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.032,2,0.0562602
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.064,2,0.0577267
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.128,2,0.0603852
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.256,2,0.0653655
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.512,2,0.0741823
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,1.024,2,0.0900977
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.016,4, 0.0730624
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.032,4,0.0744627
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.064,4,0.0759187
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.128,4,0.0787644
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.256,4,0.0843605
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.512,4,0.0943437
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,1.024,4,0.1118883
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.016,8, 0.1011031
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.032,8,0.1025438
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.064,8,0.1045940
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.128,8,0.1079256
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.256,8,0.1139243
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.512,8,0.1253702
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,1.024,8,0.1451316
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.016,16, 0.1465125
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.032,16,0.1480992
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.064,16,0.1498942
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.128,16,0.1534204
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.256,16,0.1600842
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.512,16,0.1733511
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,1.024,16,0.1967001
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.016,32, 0.2248553
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.032,32,0.2269885
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.064,32,0.2289528
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.128,32,0.2328427
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.256,32,0.2404684
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.512,32,0.2552676
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,1.024,32,0.2834666
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.016,0.1,0.0235578
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.032,0.1,0.0242038
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.064,0.1,0.0250488
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.128,0.1,0.0269652
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.256,0.1,0.0312776
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.512,0.1,0.0412622
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,1.024,0.1,0.0629262
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.016,1, 0.0242864
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.032,1,0.0249956
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.064,1,0.0258082
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.128,1,0.0277096
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.256,1,0.0320404
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.512,1,0.0417608
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,1.024,1,0.0633586
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.016,2, 0.0314894
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.032,2,0.0319810
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.064,2,0.0326365
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.128,2,0.0341829
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.256,2,0.0376744
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.512,2,0.0460816
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,1.024,2,0.0660506
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.016,4, 0.0474224
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.032,4,0.0478400
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.064,4,0.0484422
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.128,4,0.0496914
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.256,4,0.0533081
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.512,4,0.0609342
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,1.024,4,0.0777425
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.016,8, 0.0750901
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.032,8,0.0757437
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.064,8,0.0766246
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.128,8,0.0776801
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.256,8,0.0807914
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.512,8,0.0880780
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,1.024,8,0.1042785
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.016,16, 0.1253319
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.032,16,0.1261370
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.064,16,0.1267553
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.128,16,0.1284113
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.256,16,0.1321445
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.512,16,0.1397254
