nom_voltage,nom_temperature,nom_process,related_pin A1,related_pin A2,timing_type combinational,timing_sense negative_unate,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.512,0.5,0.0399095
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,1.024,0.5,0.0595026
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.016,1, 0.0262655
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.032,1,0.0267825
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.064,1,0.0279056
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.128,1,0.0299629
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.256,1,0.0340816
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.512,1,0.0427252
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,1.024,1,0.0615163
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.016,2, 0.0349950
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.032,2,0.0355116
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.064,2,0.0361375
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.128,2,0.0383469
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.256,2,0.0425732
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.512,2,0.0507842
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,1.024,2,0.0683635
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.016,4, 0.0522120
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.032,4,0.0527341
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.064,4,0.0531818
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.128,4,0.0559363
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.256,4,0.0600393
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.512,4,0.0677518
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,1.024,4,0.0846862
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.016,8, 0.0867069
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.032,8,0.0872283
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.064,8,0.0886357
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.128,8,0.0901240
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.256,8,0.0931967
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.512,8,0.1017145
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,1.024,8,0.1185727
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.016,0.1,0.0511763
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.032,0.1,0.0522079
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.064,0.1,0.0538384
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.128,0.1,0.0569040
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.256,0.1,0.0623742
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.512,0.1,0.0720283
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,1.024,0.1,0.0889936
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.016,0.25, 0.0530392
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.032,0.25,0.0540704
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.064,0.25,0.0557136
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.128,0.25,0.0587651
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.256,0.25,0.0642306
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.512,0.25,0.0738473
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,1.024,0.25,0.0908374
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.016,0.5, 0.0554912
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.032,0.5,0.0565087
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.064,0.5,0.0581400
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.128,0.5,0.0612009
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.256,0.5,0.0666298
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.512,0.5,0.0761484
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,1.024,0.5,0.0930892
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.016,1, 0.0574619
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.032,1,0.0585942
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.064,1,0.0602485
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.128,1,0.0634256
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.256,1,0.0688826
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.512,1,0.0784792
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,1.024,1,0.0954765
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.016,2, 0.0574070
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.032,2,0.0584790
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.064,2,0.0603757
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.128,2,0.0635930
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.256,2,0.0696399
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.512,2,0.0798174
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,1.024,2,0.0975345
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.016,4, 0.0512116
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.032,4,0.0524593
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.064,4,0.0542566
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.128,4,0.0580113
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.256,4,0.0640874
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.512,4,0.0760095
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,1.024,4,0.0956514
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.016,8, 0.0299699
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.032,8,0.0311696
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.064,8,0.0331808
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.128,8,0.0374116
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.256,8,0.0448300
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.512,8,0.0580849
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,1.024,8,0.0813003
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,0.016,0.1,0.0215677
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,0.032,0.1,0.0222305
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,0.064,0.1,0.0234172
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,0.128,0.1,0.0258031
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,0.256,0.1,0.0307882
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,0.512,0.1,0.0411838
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,1.024,0.1,0.0632769
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,0.016,0.25, 0.0218560
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,0.032,0.25,0.0224502
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,0.064,0.25,0.0236412
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,0.128,0.25,0.0260038
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,0.256,0.25,0.0310047
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,0.512,0.25,0.0412722
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,1.024,0.25,0.0634072
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,0.016,0.5, 0.0225821
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,0.032,0.5,0.0232082
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,0.064,0.5,0.0242941
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,0.128,0.5,0.0266472
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,0.256,0.5,0.0314856
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,0.512,0.5,0.0417770
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,1.024,0.5,0.0637222
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,0.016,1, 0.0254978
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,0.032,1,0.0261008
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,0.064,1,0.0272608
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0,1,0.128,1,0.0295746
