nom_voltage,nom_temperature,nom_process,related_pin SAVE,related_pin CLK,timing_type removal_falling,fall_constraint,rise_constraint,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,1,1,0,0.0160000,0.0160000,-0.7227048
0.850000,125.000000,1.01,1,0,1,1,0,0.0320000,0.0160000,-0.7301519
0.850000,125.000000,1.01,1,0,1,1,0,0.0640000,0.0160000,-0.7372447
0.850000,125.000000,1.01,1,0,1,1,0,0.1280000,0.0160000,-0.7519249
0.850000,125.000000,1.01,1,0,1,1,0,0.2560000,0.0160000,-0.7807175
0.850000,125.000000,1.01,1,0,1,1,0,0.5120000,0.0160000,-0.8148690
0.850000,125.000000,1.01,1,0,1,1,0,1.0240000,0.0160000,-0.8636286
0.850000,125.000000,1.01,1,0,1,1,0,0.0160000,0.0320000, -0.7270364
0.850000,125.000000,1.01,1,0,1,1,0,0.0320000,0.0320000,-0.7305768
0.850000,125.000000,1.01,1,0,1,1,0,0.0640000,0.0320000,-0.7415764
0.850000,125.000000,1.01,1,0,1,1,0,0.1280000,0.0320000,-0.7562564
0.850000,125.000000,1.01,1,0,1,1,0,0.2560000,0.0320000,-0.7811425
0.850000,125.000000,1.01,1,0,1,1,0,0.5120000,0.0320000,-0.8191968
0.850000,125.000000,1.01,1,0,1,1,0,1.0240000,0.0320000,-0.8679604
0.850000,125.000000,1.01,1,0,1,1,0,0.0160000,0.0640000, -0.7316230
0.850000,125.000000,1.01,1,0,1,1,0,0.0320000,0.0640000,-0.7390691
0.850000,125.000000,1.01,1,0,1,1,0,0.0640000,0.0640000,-0.7461624
0.850000,125.000000,1.01,1,0,1,1,0,0.1280000,0.0640000,-0.7608432
0.850000,125.000000,1.01,1,0,1,1,0,0.2560000,0.0640000,-0.7896348
0.850000,125.000000,1.01,1,0,1,1,0,0.5120000,0.0640000,-0.8236991
0.850000,125.000000,1.01,1,0,1,1,0,1.0240000,0.0640000,-0.8725463
0.850000,125.000000,1.01,1,0,1,1,0,0.0160000,0.1280000, -0.7445194
0.850000,125.000000,1.01,1,0,1,1,0,0.0320000,0.1280000,-0.7520505
0.850000,125.000000,1.01,1,0,1,1,0,0.0640000,0.1280000,-0.7590593
0.850000,125.000000,1.01,1,0,1,1,0,0.1280000,0.1280000,-0.7737396
0.850000,125.000000,1.01,1,0,1,1,0,0.2560000,0.1280000,-0.8025469
0.850000,125.000000,1.01,1,0,1,1,0,0.5120000,0.1280000,-0.8364248
0.850000,125.000000,1.01,1,0,1,1,0,1.0240000,0.1280000,-0.8854431
0.850000,125.000000,1.01,1,0,1,1,0,0.0160000,0.2560000, -0.7702601
0.850000,125.000000,1.01,1,0,1,1,0,0.0320000,0.2560000,-0.7743413
0.850000,125.000000,1.01,1,0,1,1,0,0.0640000,0.2560000,-0.7850012
0.850000,125.000000,1.01,1,0,1,1,0,0.1280000,0.2560000,-0.7994418
0.850000,125.000000,1.01,1,0,1,1,0,0.2560000,0.2560000,-0.8245501
0.850000,125.000000,1.01,1,0,1,1,0,0.5120000,0.2560000,-0.8630590
0.850000,125.000000,1.01,1,0,1,1,0,1.0240000,0.2560000,-0.9079114
0.850000,125.000000,1.01,1,0,1,1,0,0.0160000,0.5120000, -0.8185170
0.850000,125.000000,1.01,1,0,1,1,0,0.0320000,0.5120000,-0.8224321
0.850000,125.000000,1.01,1,0,1,1,0,0.0640000,0.5120000,-0.8329790
0.850000,125.000000,1.01,1,0,1,1,0,0.1280000,0.5120000,-0.8476926
0.850000,125.000000,1.01,1,0,1,1,0,0.2560000,0.5120000,-0.8729829
0.850000,125.000000,1.01,1,0,1,1,0,0.5120000,0.5120000,-0.9145422
0.850000,125.000000,1.01,1,0,1,1,0,1.0240000,0.5120000,-0.9597017
0.850000,125.000000,1.01,1,0,1,1,0,0.0160000,1.0240000, -0.9229653
0.850000,125.000000,1.01,1,0,1,1,0,0.0320000,1.0240000,-0.9264381
0.850000,125.000000,1.01,1,0,1,1,0,0.0640000,1.0240000,-0.9335837
0.850000,125.000000,1.01,1,0,1,1,0,0.1280000,1.0240000,-0.9520815
0.850000,125.000000,1.01,1,0,1,1,0,0.2560000,1.0240000,-0.9774116
0.850000,125.000000,1.01,1,0,1,1,0,0.5120000,1.0240000,-1.0140808
0.850000,125.000000,1.01,1,0,1,1,0,1.0240000,1.0240000,-1.0593740
0.850000,125.000000,1.01,0,1,1,0,1,0.0160000,0.0160000,0.0856899
0.850000,125.000000,1.01,0,1,1,0,1,0.0320000,0.0160000,0.0900175
0.850000,125.000000,1.01,0,1,1,0,1,0.0640000,0.0160000,0.0985293
0.850000,125.000000,1.01,0,1,1,0,1,0.1280000,0.0160000,0.1152326
0.850000,125.000000,1.01,0,1,1,0,1,0.2560000,0.0160000,0.1452102
0.850000,125.000000,1.01,0,1,1,0,1,0.5120000,0.0160000,0.1812702
0.850000,125.000000,1.01,0,1,1,0,1,1.0240000,0.0160000,0.2379754
0.850000,125.000000,1.01,0,1,1,0,1,0.0160000,0.0320000, 0.0930733
0.850000,125.000000,1.01,0,1,1,0,1,0.0320000,0.0320000,0.0972485
0.850000,125.000000,1.01,0,1,1,0,1,0.0640000,0.0320000,0.1058236
0.850000,125.000000,1.01,0,1,1,0,1,0.1280000,0.0320000,0.1224689
0.850000,125.000000,1.01,0,1,1,0,1,0.2560000,0.0320000,0.1488692
0.850000,125.000000,1.01,0,1,1,0,1,0.5120000,0.0320000,0.1847756
0.850000,125.000000,1.01,0,1,1,0,1,1.0240000,0.0320000,0.2414803
0.850000,125.000000,1.01,0,1,1,0,1,0.0160000,0.0640000, 0.1007864
0.850000,125.000000,1.01,0,1,1,0,1,0.0320000,0.0640000,0.1049905
0.850000,125.000000,1.01,0,1,1,0,1,0.0640000,0.0640000,0.1133795
0.850000,125.000000,1.01,0,1,1,0,1,0.1280000,0.0640000,0.1301350
0.850000,125.000000,1.01,0,1,1,0,1,0.2560000,0.0640000,0.1560125
0.850000,125.000000,1.01,0,1,1,0,1,0.5120000,0.0640000,0.1921951
0.850000,125.000000,1.01,0,1,1,0,1,1.0240000,0.0640000,0.2489002
0.850000,125.000000,1.01,0,1,1,0,1,0.0160000,0.1280000, 0.1111314
0.850000,125.000000,1.01,0,1,1,0,1,0.0320000,0.1280000,0.1155006
0.850000,125.000000,1.01,0,1,1,0,1,0.0640000,0.1280000,0.1239535
