nom_voltage,nom_temperature,nom_process,related_pin A,timing_type combinational,timing_sense negative_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.016,8, 0.1166128
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.032,8,0.1174383
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.064,8,0.1182755
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.128,8,0.1200872
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.256,8,0.1244154
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.512,8,0.1347899
0.850000,125.000000,1.01,1,1,1,0,1,0,0,1.024,8,0.1524055
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.016,16, 0.2305492
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.032,16,0.2322674
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.064,16,0.2329097
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.128,16,0.2337195
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.256,16,0.2378332
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.512,16,0.2469387
0.850000,125.000000,1.01,1,1,1,0,1,0,0,1.024,16,0.2666157
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.016,32, 0.4606660
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.032,32,0.4633519
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.064,32,0.4633519
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.128,32,0.4633519
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.256,32,0.4659193
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.512,32,0.4756585
0.850000,125.000000,1.01,1,1,1,0,1,0,0,1.024,32,0.4888909
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.016,0.1,0.0057379
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.032,0.1,0.0075157
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.064,0.1,0.0093084
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.128,0.1,0.0125171
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.256,0.1,0.0180628
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.512,0.1,0.0282706
0.850000,125.000000,1.01,1,1,1,0,0,1,0,1.024,0.1,0.0489928
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.016,1, 0.0059134
