nom_voltage,nom_temperature,nom_process,related_pin A,timing_sense negative_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,0.1,0.0385307
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,0.1,0.0397107
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,0.1,0.0408707
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,0.1,0.0430161
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,0.1,0.0469784
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,0.1,0.0541231
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,0.1,0.0579560
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,4,  0.0433694
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,4,0.0445380
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,4,0.0456779
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,4,0.0478060
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,4,0.0517010
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,4,0.0588267
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,4,0.0625954
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,8,  0.0510676
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,8,0.0522953
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,8,0.0535047
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,8,0.0556530
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,8,0.0595441
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,8,0.0665689
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,8,0.0702901
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,16,  0.0619840
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,16,0.0632156
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,16,0.0645091
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,16,0.0668097
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,16,0.0711418
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,16,0.0783468
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,16,0.0821411
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,32,  0.0772068
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,32,0.0786134
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,32,0.0799811
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,32,0.0825597
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,32,0.0872486
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,32,0.0955203
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,32,0.0997701
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,64,  0.0989588
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,64,0.1005753
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,64,0.1021668
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,64,0.1050993
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,64,0.1105377
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,64,0.1202327
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,64,0.1251240
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,82,  0.1324684
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,82,0.1341926
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,82,0.1359368
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,82,0.1393454
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,82,0.1458315
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,82,0.1575400
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,82,0.1635890
0.850000,125.000000,1.01,1,1,0,1,0,0,0.016,0.1,0.0169790
0.850000,125.000000,1.01,1,1,0,1,0,0,0.032,0.1,0.0177008
0.850000,125.000000,1.01,1,1,0,1,0,0,0.064,0.1,0.0185110
0.850000,125.000000,1.01,1,1,0,1,0,0,0.128,0.1,0.0203395
0.850000,125.000000,1.01,1,1,0,1,0,0,0.256,0.1,0.0241828
0.850000,125.000000,1.01,1,1,0,1,0,0,0.512,0.1,0.0326340
0.850000,125.000000,1.01,1,1,0,1,0,0,1.024,0.1,0.0376711
0.850000,125.000000,1.01,1,1,0,1,0,0,0.016,4,  0.0175044
0.850000,125.000000,1.01,1,1,0,1,0,0,0.032,4,0.0182523
0.850000,125.000000,1.01,1,1,0,1,0,0,0.064,4,0.0190884
0.850000,125.000000,1.01,1,1,0,1,0,0,0.128,4,0.0208339
0.850000,125.000000,1.01,1,1,0,1,0,0,0.256,4,0.0247060
0.850000,125.000000,1.01,1,1,0,1,0,0,0.512,4,0.0329679
0.850000,125.000000,1.01,1,1,0,1,0,0,1.024,4,0.0378960
0.850000,125.000000,1.01,1,1,0,1,0,0,0.016,8,  0.0203133
0.850000,125.000000,1.01,1,1,0,1,0,0,0.032,8,0.0209537
0.850000,125.000000,1.01,1,1,0,1,0,0,0.064,8,0.0216834
0.850000,125.000000,1.01,1,1,0,1,0,0,0.128,8,0.0232434
0.850000,125.000000,1.01,1,1,0,1,0,0,0.256,8,0.0266936
0.850000,125.000000,1.01,1,1,0,1,0,0,0.512,8,0.0344773
0.850000,125.000000,1.01,1,1,0,1,0,0,1.024,8,0.0390779
0.850000,125.000000,1.01,1,1,0,1,0,0,0.016,16,  0.0266994
0.850000,125.000000,1.01,1,1,0,1,0,0,0.032,16,0.0272928
0.850000,125.000000,1.01,1,1,0,1,0,0,0.064,16,0.0279381
