nom_voltage,nom_temperature,nom_process,related_pin A1,related_pin A2,related_pin A3,timing_type combinational,timing_sense negative_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.016,0.1,0.0463599
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.032,0.1,0.0473730
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.064,0.1,0.0485582
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.128,0.1,0.0507481
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.256,0.1,0.0547547
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.512,0.1,0.0619884
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,1.024,0.1,0.0753351
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.016,0.5, 0.0528512
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.032,0.5,0.0538429
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.064,0.5,0.0550257
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.128,0.5,0.0572211
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.256,0.5,0.0612096
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.512,0.5,0.0684392
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,1.024,0.5,0.0817264
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.016,1, 0.0648565
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.032,1,0.0658584
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.064,1,0.0671322
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.128,1,0.0692782
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.256,1,0.0732186
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.512,1,0.0803693
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,1.024,1,0.0935650
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.016,2, 0.0842114
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.032,2,0.0852527
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.064,2,0.0865384
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.128,2,0.0888697
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.256,2,0.0930724
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.512,2,0.1003989
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,1.024,2,0.1136804
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.016,4, 0.1161727
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.032,4,0.1173094
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.064,4,0.1188157
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.128,4,0.1214663
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.256,4,0.1260657
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.512,4,0.1341049
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,1.024,4,0.1480775
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.016,8, 0.1711211
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.032,8,0.1724099
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.064,8,0.1739726
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.128,8,0.1769260
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.256,8,0.1823101
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.512,8,0.1920067
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,1.024,8,0.2079656
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.016,16, 0.2711150
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.032,16,0.2725179
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.064,16,0.2745348
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.128,16,0.2780067
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.256,16,0.2843477
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.512,16,0.2955072
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,1.024,16,0.3147402
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.016,0.1,0.0161846
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.032,0.1,0.0168369
