nom_voltage,nom_temperature,nom_process,related_pin A1,related_pin A2,related_pin A3,timing_type combinational,timing_sense positive_unate,timing_sense negative_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.016,0.1,0.0687038
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.032,0.1,0.0698375
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.064,0.1,0.0712393
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.128,0.1,0.0738176
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.256,0.1,0.0784404
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.512,0.1,0.0866202
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,1.024,0.1,0.1011081
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.016,0.5, 0.0692099
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.032,0.5,0.0703486
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.064,0.5,0.0717305
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.128,0.5,0.0743181
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.256,0.5,0.0789563
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.512,0.5,0.0871333
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,1.024,0.5,0.1016946
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.016,1, 0.0691000
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.032,1,0.0702619
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.064,1,0.0716347
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.128,1,0.0741906
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.256,1,0.0788071
