nom_voltage,nom_temperature,nom_process,related_pin CLK,timing_type falling_edge,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,0.1,0.0570312
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,0.1,0.0579588
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,0.1,0.0594586
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,0.1,0.0622205
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,0.1,0.0672906
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,0.1,0.0762941
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,0.1,0.0922812
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,0.25, 0.0613032
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,0.25,0.0622185
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,0.25,0.0637108
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,0.25,0.0664728
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,0.25,0.0715231
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,0.25,0.0804896
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,0.25,0.0964510
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,0.5, 0.0679720
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,0.5,0.0688878
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,0.5,0.0703562
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,0.5,0.0731114
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,0.5,0.0781289
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,0.5,0.0870513
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,0.5,0.1029142
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,1, 0.0772187
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,1,0.0781552
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,1,0.0796603
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,1,0.0824764
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,1,0.0875880
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,1,0.0966311
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,1,0.1125701
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,2, 0.0899010
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,2,0.0908946
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,2,0.0924909
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,2,0.0955074
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,2,0.1008879
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,2,0.1103948
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,2,0.1269008
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,4, 0.1054349
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,4,0.1065027
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,4,0.1082310
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,4,0.1115430
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,4,0.1176530
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,4,0.1282324
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,4,0.1462627
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,8, 0.1238135
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,8,0.1250257
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,8,0.1270031
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,8,0.1308018
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,8,0.1373736
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,8,0.1498187
