nom_voltage,nom_temperature,nom_process,related_pin A1,related_pin A2,related_pin A3,timing_type combinational,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.016,0.1,0.0423417
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.032,0.1,0.0434638
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.064,0.1,0.0448129
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.128,0.1,0.0472961
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.256,0.1,0.0519164
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.512,0.1,0.0601703
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,1.024,0.1,0.0747820
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.016,0.5, 0.0433722
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.032,0.5,0.0444543
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.064,0.5,0.0457542
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.128,0.5,0.0482365
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.256,0.5,0.0527933
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.512,0.5,0.0609744
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,1.024,0.5,0.0756182
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.016,1, 0.0447652
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.032,1,0.0458703
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.064,1,0.0471870
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.128,1,0.0497078
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.256,1,0.0543124
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.512,1,0.0625935
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,1.024,1,0.0772938
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.016,2, 0.0457642
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.032,2,0.0469122
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.064,2,0.0483128
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.128,2,0.0511019
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.256,2,0.0559093
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.512,2,0.0642893
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,1.024,2,0.0794235
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.016,4, 0.0427208
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.032,4,0.0439244
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.064,4,0.0453929
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.128,4,0.0482184
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.256,4,0.0535223
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.512,4,0.0629052
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,1.024,4,0.0793713
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.016,8, 0.0287504
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.032,8,0.0300472
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.064,8,0.0316417
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.128,8,0.0347367
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.256,8,0.0406070
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.512,8,0.0512710
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,1.024,8,0.0700913
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.016,16, -0.0104794
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.032,16,-0.0090643
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.064,16,-0.0073040
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.128,16,-0.0038519
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.256,16,0.0028692
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.512,16,0.0153003
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,1.024,16,0.0379402
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.016,0.1,0.0264898
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.032,0.1,0.0271682
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.064,0.1,0.0281007
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.128,0.1,0.0300303
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.256,0.1,0.0339408
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.512,0.1,0.0424095
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,1.024,0.1,0.0602089
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.016,0.5, 0.0270252
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.032,0.5,0.0277162
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.064,0.5,0.0286648
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.128,0.5,0.0305208
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.256,0.5,0.0344564
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.512,0.5,0.0427854
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,1.024,0.5,0.0606272
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.016,1, 0.0304484
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.032,1,0.0310930
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.064,1,0.0318446
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.128,1,0.0336438
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.256,1,0.0372818
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.512,1,0.0453911
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,1.024,1,0.0625311
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.016,2, 0.0383353
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.032,2,0.0389491
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.064,2,0.0397635
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.128,2,0.0414340
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.256,2,0.0450859
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.512,2,0.0526224
