nom_voltage,nom_temperature,nom_process,related_pin SAVE,related_pin CLK,timing_type removal_falling,timing_type removal_rising,fall_constraint,rise_constraint,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,1,0,1,0,0.0160000,0.0160000,-0.8048028
0.850000,125.000000,1.01,1,0,1,0,1,0,0.0320000,0.0160000,-0.8083640
0.850000,125.000000,1.01,1,0,1,0,1,0,0.0640000,0.0160000,-0.8195403
0.850000,125.000000,1.01,1,0,1,0,1,0,0.1280000,0.0160000,-0.8375787
0.850000,125.000000,1.01,1,0,1,0,1,0,0.2560000,0.0160000,-0.8667193
0.850000,125.000000,1.01,1,0,1,0,1,0,0.5120000,0.0160000,-0.9125855
0.850000,125.000000,1.01,1,0,1,0,1,0,1.0240000,0.0160000,-0.9730678
0.850000,125.000000,1.01,1,0,1,0,1,0,0.0160000,0.0320000, -0.8052545
0.850000,125.000000,1.01,1,0,1,0,1,0,0.0320000,0.0320000,-0.8088157
0.850000,125.000000,1.01,1,0,1,0,1,0,0.0640000,0.0320000,-0.8160858
0.850000,125.000000,1.01,1,0,1,0,1,0,0.1280000,0.0320000,-0.8380304
0.850000,125.000000,1.01,1,0,1,0,1,0,0.2560000,0.0320000,-0.8671710
0.850000,125.000000,1.01,1,0,1,0,1,0,0.5120000,0.0320000,-0.9130372
0.850000,125.000000,1.01,1,0,1,0,1,0,1.0240000,0.0320000,-0.9735196
0.850000,125.000000,1.01,1,0,1,0,1,0,0.0160000,0.0640000, -0.8019981
0.850000,125.000000,1.01,1,0,1,0,1,0,0.0320000,0.0640000,-0.8094492
0.850000,125.000000,1.01,1,0,1,0,1,0,0.0640000,0.0640000,-0.8166988
0.850000,125.000000,1.01,1,0,1,0,1,0,0.1280000,0.0640000,-0.8347372
0.850000,125.000000,1.01,1,0,1,0,1,0,0.2560000,0.0640000,-0.8638777
0.850000,125.000000,1.01,1,0,1,0,1,0,0.5120000,0.0640000,-0.9136502
0.850000,125.000000,1.01,1,0,1,0,1,0,1.0240000,0.0640000,-0.9741326
0.850000,125.000000,1.01,1,0,1,0,1,0,0.0160000,0.1280000, -0.8031208
0.850000,125.000000,1.01,1,0,1,0,1,0,0.0320000,0.1280000,-0.8105884
0.850000,125.000000,1.01,1,0,1,0,1,0,0.0640000,0.1280000,-0.8178584
0.850000,125.000000,1.01,1,0,1,0,1,0,0.1280000,0.1280000,-0.8358969
0.850000,125.000000,1.01,1,0,1,0,1,0,0.2560000,0.1280000,-0.8650374
0.850000,125.000000,1.01,1,0,1,0,1,0,0.5120000,0.1280000,-0.9147766
0.850000,125.000000,1.01,1,0,1,0,1,0,1.0240000,0.1280000,-0.9753836
0.850000,125.000000,1.01,1,0,1,0,1,0,0.0160000,0.2560000, -0.8096759
0.850000,125.000000,1.01,1,0,1,0,1,0,0.0320000,0.2560000,-0.8135580
0.850000,125.000000,1.01,1,0,1,0,1,0,0.0640000,0.2560000,-0.8239669
0.850000,125.000000,1.01,1,0,1,0,1,0,0.1280000,0.2560000,-0.8420957
0.850000,125.000000,1.01,1,0,1,0,1,0,0.2560000,0.2560000,-0.8751443
0.850000,125.000000,1.01,1,0,1,0,1,0,0.5120000,0.2560000,-0.9174636
0.850000,125.000000,1.01,1,0,1,0,1,0,1.0240000,0.2560000,-0.9782285
0.850000,125.000000,1.01,1,0,1,0,1,0,0.0160000,0.5120000, -0.8305370
0.850000,125.000000,1.01,1,0,1,0,1,0,0.0320000,0.5120000,-0.8307180
0.850000,125.000000,1.01,1,0,1,0,1,0,0.0640000,0.5120000,-0.8414061
0.850000,125.000000,1.01,1,0,1,0,1,0,0.1280000,0.5120000,-0.8631471
0.850000,125.000000,1.01,1,0,1,0,1,0,0.2560000,0.5120000,-0.8889344
0.850000,125.000000,1.01,1,0,1,0,1,0,0.5120000,0.5120000,-0.9337544
0.850000,125.000000,1.01,1,0,1,0,1,0,1.0240000,0.5120000,-0.9988904
0.850000,125.000000,1.01,1,0,1,0,1,0,0.0160000,1.0240000, -0.8608576
0.850000,125.000000,1.01,1,0,1,0,1,0,0.0320000,1.0240000,-0.8644602
0.850000,125.000000,1.01,1,0,1,0,1,0,0.0640000,1.0240000,-0.8705811
0.850000,125.000000,1.01,1,0,1,0,1,0,0.1280000,1.0240000,-0.8931820
0.850000,125.000000,1.01,1,0,1,0,1,0,0.2560000,1.0240000,-0.9220819
0.850000,125.000000,1.01,1,0,1,0,1,0,0.5120000,1.0240000,-0.9669671
0.850000,125.000000,1.01,1,0,1,0,1,0,1.0240000,1.0240000,-1.0282175
0.850000,125.000000,1.01,0,1,0,1,0,1,0.0160000,0.0160000,0.0193098
0.850000,125.000000,1.01,0,1,0,1,0,1,0.0320000,0.0160000,0.0198384
0.850000,125.000000,1.01,0,1,0,1,0,1,0.0640000,0.0160000,0.0163731
0.850000,125.000000,1.01,0,1,0,1,0,1,0.1280000,0.0160000,0.0098328
0.850000,125.000000,1.01,0,1,0,1,0,1,0.2560000,0.0160000,-0.0033347
0.850000,125.000000,1.01,0,1,0,1,0,1,0.5120000,0.0160000,-0.0257634
0.850000,125.000000,1.01,0,1,0,1,0,1,1.0240000,0.0160000,-0.0888368
0.850000,125.000000,1.01,0,1,0,1,0,1,0.0160000,0.0320000, 0.0229914
0.850000,125.000000,1.01,0,1,0,1,0,1,0.0320000,0.0320000,0.0195312
0.850000,125.000000,1.01,0,1,0,1,0,1,0.0640000,0.0320000,0.0160081
0.850000,125.000000,1.01,0,1,0,1,0,1,0.1280000,0.0320000,0.0094209
0.850000,125.000000,1.01,0,1,0,1,0,1,0.2560000,0.0320000,0.0001253
0.850000,125.000000,1.01,0,1,0,1,0,1,0.5120000,0.0320000,-0.0261901
0.850000,125.000000,1.01,0,1,0,1,0,1,1.0240000,0.0320000,-0.0853573
0.850000,125.000000,1.01,0,1,0,1,0,1,0.0160000,0.0640000, 0.0263555
0.850000,125.000000,1.01,0,1,0,1,0,1,0.0320000,0.0640000,0.0228892
0.850000,125.000000,1.01,0,1,0,1,0,1,0.0640000,0.0640000,0.0198608
0.850000,125.000000,1.01,0,1,0,1,0,1,0.1280000,0.0640000,0.0129022
0.850000,125.000000,1.01,0,1,0,1,0,1,0.2560000,0.0640000,0.0034009
0.850000,125.000000,1.01,0,1,0,1,0,1,0.5120000,0.0640000,-0.0190229
0.850000,125.000000,1.01,0,1,0,1,0,1,1.0240000,0.0640000,-0.0817075
0.850000,125.000000,1.01,0,1,0,1,0,1,0.0160000,0.1280000, 0.0289684
0.850000,125.000000,1.01,0,1,0,1,0,1,0.0320000,0.1280000,0.0255133
0.850000,125.000000,1.01,0,1,0,1,0,1,0.0640000,0.1280000,0.0223515
0.850000,125.000000,1.01,0,1,0,1,0,1,0.1280000,0.1280000,0.0192648
0.850000,125.000000,1.01,0,1,0,1,0,1,0.2560000,0.1280000,0.0099195
0.850000,125.000000,1.01,0,1,0,1,0,1,0.5120000,0.1280000,-0.0164389
0.850000,125.000000,1.01,0,1,0,1,0,1,1.0240000,0.1280000,-0.0769755
0.850000,125.000000,1.01,0,1,0,1,0,1,0.0160000,0.2560000, 0.0306638
0.850000,125.000000,1.01,0,1,0,1,0,1,0.0320000,0.2560000,0.0269493
0.850000,125.000000,1.01,0,1,0,1,0,1,0.0640000,0.2560000,0.0238180
0.850000,125.000000,1.01,0,1,0,1,0,1,0.1280000,0.2560000,0.0210751
0.850000,125.000000,1.01,0,1,0,1,0,1,0.2560000,0.2560000,0.0119220
0.850000,125.000000,1.01,0,1,0,1,0,1,0.5120000,0.2560000,-0.0107099
0.850000,125.000000,1.01,0,1,0,1,0,1,1.0240000,0.2560000,-0.0676948
0.850000,125.000000,1.01,0,1,0,1,0,1,0.0160000,0.5120000, 0.0218427
0.850000,125.000000,1.01,0,1,0,1,0,1,0.0320000,0.5120000,0.0220343
0.850000,125.000000,1.01,0,1,0,1,0,1,0.0640000,0.5120000,0.0189072
0.850000,125.000000,1.01,0,1,0,1,0,1,0.1280000,0.5120000,0.0162258
0.850000,125.000000,1.01,0,1,0,1,0,1,0.2560000,0.5120000,0.0109373
0.850000,125.000000,1.01,0,1,0,1,0,1,0.5120000,0.5120000,-0.0113210
0.850000,125.000000,1.01,0,1,0,1,0,1,1.0240000,0.5120000,-0.0650716
0.850000,125.000000,1.01,0,1,0,1,0,1,0.0160000,1.0240000, 0.0002939
0.850000,125.000000,1.01,0,1,0,1,0,1,0.0320000,1.0240000,0.0004854
0.850000,125.000000,1.01,0,1,0,1,0,1,0.0640000,1.0240000,-0.0026396
0.850000,125.000000,1.01,0,1,0,1,0,1,0.1280000,1.0240000,-0.0053679
0.850000,125.000000,1.01,0,1,0,1,0,1,0.2560000,1.0240000,-0.0105951
0.850000,125.000000,1.01,0,1,0,1,0,1,0.5120000,1.0240000,-0.0250187
0.850000,125.000000,1.01,0,1,0,1,0,1,1.0240000,1.0240000,-0.0696737
0.750000,-40.000000,0.99,1,0,1,0,1,0,0.0160000,0.0160000,-10.4687787
0.750000,-40.000000,0.99,1,0,1,0,1,0,0.0320000,0.0160000,-10.4566187
0.750000,-40.000000,0.99,1,0,1,0,1,0,0.0640000,0.0160000,-10.4949187
0.750000,-40.000000,0.99,1,0,1,0,1,0,0.1280000,0.0160000,-10.5093774
0.750000,-40.000000,0.99,1,0,1,0,1,0,0.2560000,0.0160000,-10.5696012
0.750000,-40.000000,0.99,1,0,1,0,1,0,0.5120000,0.0160000,-10.7199511
0.750000,-40.000000,0.99,1,0,1,0,1,0,1.0240000,0.0160000,-11.0214176
0.750000,-40.000000,0.99,1,0,1,0,1,0,0.0160000,0.0320000, -10.4496998
0.750000,-40.000000,0.99,1,0,1,0,1,0,0.0320000,0.0320000,-10.4375397
