nom_voltage,nom_temperature,nom_process,related_pin D,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,0.1,0.0229715
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,0.1,0.0236878
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,0.1,0.0248351
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,0.1,0.0269850
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,0.1,0.0309836
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,0.1,0.0382750
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,0.1,0.0516667
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,0.25, 0.0240981
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,0.25,0.0248218
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,0.25,0.0259751
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,0.25,0.0281598
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,0.25,0.0321992
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,0.25,0.0395117
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,0.25,0.0529426
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,0.5, 0.0238242
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,0.5,0.0245830
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,0.5,0.0257924
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,0.5,0.0280654
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,0.5,0.0321743
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,0.5,0.0395935
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,0.5,0.0532225
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,1, 0.0194694
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,1,0.0203171
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,1,0.0216668
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,1,0.0241853
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,1,0.0289395
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,1,0.0368720
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,1,0.0510802
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,2, 0.0060289
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,2,0.0069943
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,2,0.0085440
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,2,0.0114615
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,2,0.0167585
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,2,0.0262498
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,2,0.0420379
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,4, -0.0266804
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,4,-0.0255903
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,4,-0.0238518
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,4,-0.0204379
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,4,-0.0141771
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,4,-0.0026313
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,4,0.0163720
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,8, -0.0971321
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,8,-0.0959257
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,8,-0.0939394
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,8,-0.0900625
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,8,-0.0827667
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,8,-0.0693212
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,8,-0.0457976
0.850000,125.000000,1.01,1,1,0,1,0,0,0.016,0.1,0.0132165
0.850000,125.000000,1.01,1,1,0,1,0,0,0.032,0.1,0.0138326
0.850000,125.000000,1.01,1,1,0,1,0,0,0.064,0.1,0.0148471
0.850000,125.000000,1.01,1,1,0,1,0,0,0.128,0.1,0.0169620
0.850000,125.000000,1.01,1,1,0,1,0,0,0.256,0.1,0.0214075
0.850000,125.000000,1.01,1,1,0,1,0,0,0.512,0.1,0.0304070
0.850000,125.000000,1.01,1,1,0,1,0,0,1.024,0.1,0.0492487
0.850000,125.000000,1.01,1,1,0,1,0,0,0.016,0.25, 0.0152158
0.850000,125.000000,1.01,1,1,0,1,0,0,0.032,0.25,0.0157631
0.850000,125.000000,1.01,1,1,0,1,0,0,0.064,0.25,0.0167428
0.850000,125.000000,1.01,1,1,0,1,0,0,0.128,0.25,0.0187120
0.850000,125.000000,1.01,1,1,0,1,0,0,0.256,0.25,0.0228855
0.850000,125.000000,1.01,1,1,0,1,0,0,0.512,0.25,0.0315131
0.850000,125.000000,1.01,1,1,0,1,0,0,1.024,0.25,0.0499003
0.850000,125.000000,1.01,1,1,0,1,0,0,0.016,0.5, 0.0192408
0.850000,125.000000,1.01,1,1,0,1,0,0,0.032,0.5,0.0197121
0.850000,125.000000,1.01,1,1,0,1,0,0,0.064,0.5,0.0206295
0.850000,125.000000,1.01,1,1,0,1,0,0,0.128,0.5,0.0223928
0.850000,125.000000,1.01,1,1,0,1,0,0,0.256,0.5,0.0261415
0.850000,125.000000,1.01,1,1,0,1,0,0,0.512,0.5,0.0343241
0.850000,125.000000,1.01,1,1,0,1,0,0,1.024,0.5,0.0519404
0.850000,125.000000,1.01,1,1,0,1,0,0,0.016,1, 0.0271644
0.850000,125.000000,1.01,1,1,0,1,0,0,0.032,1,0.0276105
0.850000,125.000000,1.01,1,1,0,1,0,0,0.064,1,0.0284539
0.850000,125.000000,1.01,1,1,0,1,0,0,0.128,1,0.0301573
0.850000,125.000000,1.01,1,1,0,1,0,0,0.256,1,0.0338253
0.850000,125.000000,1.01,1,1,0,1,0,0,0.512,1,0.0411489
0.850000,125.000000,1.01,1,1,0,1,0,0,1.024,1,0.0575753
0.850000,125.000000,1.01,1,1,0,1,0,0,0.016,2, 0.0425030
0.850000,125.000000,1.01,1,1,0,1,0,0,0.032,2,0.0429843
0.850000,125.000000,1.01,1,1,0,1,0,0,0.064,2,0.0438072
0.850000,125.000000,1.01,1,1,0,1,0,0,0.128,2,0.0455059
0.850000,125.000000,1.01,1,1,0,1,0,0,0.256,2,0.0487181
0.850000,125.000000,1.01,1,1,0,1,0,0,0.512,2,0.0561652
0.850000,125.000000,1.01,1,1,0,1,0,0,1.024,2,0.0714316
0.850000,125.000000,1.01,1,1,0,1,0,0,0.016,4, 0.0715529
0.850000,125.000000,1.01,1,1,0,1,0,0,0.032,4,0.0721023
0.850000,125.000000,1.01,1,1,0,1,0,0,0.064,4,0.0732323
0.850000,125.000000,1.01,1,1,0,1,0,0,0.128,4,0.0749709
0.850000,125.000000,1.01,1,1,0,1,0,0,0.256,4,0.0780511
0.850000,125.000000,1.01,1,1,0,1,0,0,0.512,4,0.0860439
0.850000,125.000000,1.01,1,1,0,1,0,0,1.024,4,0.1012440
0.850000,125.000000,1.01,1,1,0,1,0,0,0.016,8, 0.1275684
0.850000,125.000000,1.01,1,1,0,1,0,0,0.032,8,0.1281629
0.850000,125.000000,1.01,1,1,0,1,0,0,0.064,8,0.1292609
0.850000,125.000000,1.01,1,1,0,1,0,0,0.128,8,0.1312844
0.850000,125.000000,1.01,1,1,0,1,0,0,0.256,8,0.1355027
0.850000,125.000000,1.01,1,1,0,1,0,0,0.512,8,0.1439657
0.850000,125.000000,1.01,1,1,0,1,0,0,1.024,8,0.1598943
0.850000,125.000000,1.01,1,1,0,0,1,0,0.016,0.1,0.0257960
0.850000,125.000000,1.01,1,1,0,0,1,0,0.032,0.1,0.0265778
0.850000,125.000000,1.01,1,1,0,0,1,0,0.064,0.1,0.0278392
0.850000,125.000000,1.01,1,1,0,0,1,0,0.128,0.1,0.0301585
0.850000,125.000000,1.01,1,1,0,0,1,0,0.256,0.1,0.0344225
0.850000,125.000000,1.01,1,1,0,0,1,0,0.512,0.1,0.0421814
0.850000,125.000000,1.01,1,1,0,0,1,0,1.024,0.1,0.0571580
0.850000,125.000000,1.01,1,1,0,0,1,0,0.016,0.25, 0.0322233
0.850000,125.000000,1.01,1,1,0,0,1,0,0.032,0.25,0.0329985
0.850000,125.000000,1.01,1,1,0,0,1,0,0.064,0.25,0.0342530
0.850000,125.000000,1.01,1,1,0,0,1,0,0.128,0.25,0.0366009
0.850000,125.000000,1.01,1,1,0,0,1,0,0.256,0.25,0.0408277
0.850000,125.000000,1.01,1,1,0,0,1,0,0.512,0.25,0.0484524
0.850000,125.000000,1.01,1,1,0,0,1,0,1.024,0.25,0.0632610
0.850000,125.000000,1.01,1,1,0,0,1,0,0.016,0.5, 0.0418453
0.850000,125.000000,1.01,1,1,0,0,1,0,0.032,0.5,0.0427280
0.850000,125.000000,1.01,1,1,0,0,1,0,0.064,0.5,0.0441303
0.850000,125.000000,1.01,1,1,0,0,1,0,0.128,0.5,0.0468046
0.850000,125.000000,1.01,1,1,0,0,1,0,0.256,0.5,0.0515830
0.850000,125.000000,1.01,1,1,0,0,1,0,0.512,0.5,0.0597770
0.850000,125.000000,1.01,1,1,0,0,1,0,1.024,0.5,0.0746028
0.850000,125.000000,1.01,1,1,0,0,1,0,0.016,1, 0.0575116
0.850000,125.000000,1.01,1,1,0,0,1,0,0.032,1,0.0584883
0.850000,125.000000,1.01,1,1,0,0,1,0,0.064,1,0.0600575
0.850000,125.000000,1.01,1,1,0,0,1,0,0.128,1,0.0632410
0.850000,125.000000,1.01,1,1,0,0,1,0,0.256,1,0.0686113
0.850000,125.000000,1.01,1,1,0,0,1,0,0.512,1,0.0781065
0.850000,125.000000,1.01,1,1,0,0,1,0,1.024,1,0.0943084
0.850000,125.000000,1.01,1,1,0,0,1,0,0.016,2, 0.0835793
0.850000,125.000000,1.01,1,1,0,0,1,0,0.032,2,0.0847165
0.850000,125.000000,1.01,1,1,0,0,1,0,0.064,2,0.0865361
0.850000,125.000000,1.01,1,1,0,0,1,0,0.128,2,0.0900626
0.850000,125.000000,1.01,1,1,0,0,1,0,0.256,2,0.0961883
0.850000,125.000000,1.01,1,1,0,0,1,0,0.512,2,0.1076917
0.850000,125.000000,1.01,1,1,0,0,1,0,1.024,2,0.1269462
0.850000,125.000000,1.01,1,1,0,0,1,0,0.016,4, 0.1299961
0.850000,125.000000,1.01,1,1,0,0,1,0,0.032,4,0.1312241
0.850000,125.000000,1.01,1,1,0,0,1,0,0.064,4,0.1333664
0.850000,125.000000,1.01,1,1,0,0,1,0,0.128,4,0.1372768
