nom_voltage,nom_temperature,nom_process,related_pin A,timing_type combinational,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.016,0.1,0.0193565
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.032,0.1,0.0202022
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.064,0.1,0.0212184
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.128,0.1,0.0231294
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.256,0.1,0.0267227
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.512,0.1,0.0334173
0.850000,125.000000,1.01,1,1,1,1,0,0,0,1.024,0.1,0.0462555
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.016,0.5, 0.0211779
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.032,0.5,0.0220602
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.064,0.5,0.0230983
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.128,0.5,0.0250668
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.256,0.5,0.0287106
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.512,0.5,0.0354274
0.850000,125.000000,1.01,1,1,1,1,0,0,0,1.024,0.5,0.0481189
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.016,1, 0.0218778
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.032,1,0.0228663
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.064,1,0.0241648
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.128,1,0.0263231
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.256,1,0.0303027
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.512,1,0.0373819
0.850000,125.000000,1.01,1,1,1,1,0,0,0,1.024,1,0.0504579
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.016,2, 0.0197439
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.032,2,0.0208837
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.064,2,0.0222531
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.128,2,0.0248452
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.256,2,0.0294809
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.512,2,0.0377804
0.850000,125.000000,1.01,1,1,1,1,0,0,0,1.024,2,0.0520133
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.016,4, 0.0112510
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.032,4,0.0127776
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.064,4,0.0143477
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.128,4,0.0173656
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.256,4,0.0230127
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.512,4,0.0328717
0.850000,125.000000,1.01,1,1,1,1,0,0,0,1.024,4,0.0496911
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.016,8, -0.0099662
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.032,8,-0.0085106
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.064,8,-0.0067102
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.128,8,-0.0031658
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.256,8,0.0035648
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.512,8,0.0157803
0.850000,125.000000,1.01,1,1,1,1,0,0,0,1.024,8,0.0376697
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.016,16, -0.0570797
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.032,16,-0.0554405
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.064,16,-0.0534077
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.128,16,-0.0489607
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.256,16,-0.0412471
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.512,16,-0.0266230
0.850000,125.000000,1.01,1,1,1,1,0,0,0,1.024,16,-0.0002942
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.016,0.1,0.0117246
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.032,0.1,0.0124325
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.064,0.1,0.0133776
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.128,0.1,0.0153265
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.256,0.1,0.0195667
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.512,0.1,0.0286645
0.850000,125.000000,1.01,1,1,1,0,1,0,0,1.024,0.1,0.0481958
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.016,0.5, 0.0151520
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.032,0.5,0.0157596
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.064,0.5,0.0165353
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.128,0.5,0.0181691
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.256,0.5,0.0218713
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.512,0.5,0.0302246
0.850000,125.000000,1.01,1,1,1,0,1,0,0,1.024,0.5,0.0489325
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.016,1, 0.0214144
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.032,1,0.0221080
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.064,1,0.0228131
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.128,1,0.0241648
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.256,1,0.0276620
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.512,1,0.0351851
