nom_voltage,nom_temperature,nom_process,related_pin SAVE,related_pin CLK,timing_type removal_falling,fall_constraint,rise_constraint,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,1,1,0,0.0160000,0.0160000,-0.7227048
0.850000,125.000000,1.01,1,0,1,1,0,0.0320000,0.0160000,-0.7301517
0.850000,125.000000,1.01,1,0,1,1,0,0.0640000,0.0160000,-0.7372447
0.850000,125.000000,1.01,1,0,1,1,0,0.1280000,0.0160000,-0.7519249
0.850000,125.000000,1.01,1,0,1,1,0,0.2560000,0.0160000,-0.7807175
0.850000,125.000000,1.01,1,0,1,1,0,0.5120000,0.0160000,-0.8187712
0.850000,125.000000,1.01,1,0,1,1,0,1.0240000,0.0160000,-0.8675348
0.850000,125.000000,1.01,1,0,1,1,0,0.0160000,0.0320000, -0.7270364
0.850000,125.000000,1.01,1,0,1,1,0,0.0320000,0.0320000,-0.7305766
0.850000,125.000000,1.01,1,0,1,1,0,0.0640000,0.0320000,-0.7415764
0.850000,125.000000,1.01,1,0,1,1,0,0.1280000,0.0320000,-0.7562564
0.850000,125.000000,1.01,1,0,1,1,0,0.2560000,0.0320000,-0.7850494
0.850000,125.000000,1.01,1,0,1,1,0,0.5120000,0.0320000,-0.8231007
0.850000,125.000000,1.01,1,0,1,1,0,1.0240000,0.0320000,-0.8718664
0.850000,125.000000,1.01,1,0,1,1,0,0.0160000,0.0640000, -0.7316227
0.850000,125.000000,1.01,1,0,1,1,0,0.0320000,0.0640000,-0.7390690
0.850000,125.000000,1.01,1,0,1,1,0,0.0640000,0.0640000,-0.7461623
0.850000,125.000000,1.01,1,0,1,1,0,0.1280000,0.0640000,-0.7647487
0.850000,125.000000,1.01,1,0,1,1,0,0.2560000,0.0640000,-0.7896350
0.850000,125.000000,1.01,1,0,1,1,0,0.5120000,0.0640000,-0.8278193
0.850000,125.000000,1.01,1,0,1,1,0,1.0240000,0.0640000,-0.8766035
0.850000,125.000000,1.01,1,0,1,1,0,0.0160000,0.1280000, -0.7448717
0.850000,125.000000,1.01,1,0,1,1,0,0.0320000,0.1280000,-0.7523838
0.850000,125.000000,1.01,1,0,1,1,0,0.0640000,0.1280000,-0.7596026
0.850000,125.000000,1.01,1,0,1,1,0,0.1280000,0.1280000,-0.7737645
0.850000,125.000000,1.01,1,0,1,1,0,0.2560000,0.1280000,-0.8025580
0.850000,125.000000,1.01,1,0,1,1,0,0.5120000,0.1280000,-0.8406839
0.850000,125.000000,1.01,1,0,1,1,0,1.0240000,0.1280000,-0.8893494
0.850000,125.000000,1.01,1,0,1,1,0,0.0160000,0.2560000, -0.7709697
0.850000,125.000000,1.01,1,0,1,1,0,0.0320000,0.2560000,-0.7745041
0.850000,125.000000,1.01,1,0,1,1,0,0.0640000,0.2560000,-0.7855442
