nom_voltage,nom_temperature,nom_process,related_pin A,related_pin B,related_pin CI,timing_type combinational,timing_sense negative_unate,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.016,0.1,0.0806246
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.032,0.1,0.0818064
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.064,0.1,0.0832391
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.128,0.1,0.0859648
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.256,0.1,0.0908949
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.512,0.1,0.0996651
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,1.024,0.1,0.1153145
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.016,0.5, 0.0853001
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.032,0.5,0.0864867
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.064,0.5,0.0879108
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.128,0.5,0.0906385
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.256,0.5,0.0955630
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.512,0.5,0.1043288
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,1.024,0.5,0.1199709
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.016,1, 0.0942965
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.032,1,0.0954804
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.064,1,0.0969049
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.128,1,0.0996223
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.256,1,0.1045524
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.512,1,0.1133059
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,1.024,1,0.1288848
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.016,2, 0.1096843
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.032,2,0.1108838
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.064,2,0.1123570
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.128,2,0.1150694
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.256,2,0.1199814
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.512,2,0.1287291
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,1.024,2,0.1441190
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.016,4, 0.1326749
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.032,4,0.1339368
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.064,4,0.1354609
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.128,4,0.1382855
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.256,4,0.1433249
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.512,4,0.1522584
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,1.024,4,0.1679407
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.016,8, 0.1656257
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.032,8,0.1669980
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.064,8,0.1686288
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.128,8,0.1716028
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.256,8,0.1771293
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.512,8,0.1870125
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,1.024,8,0.2036961
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.016,16, 0.2136814
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.032,16,0.2151610
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.064,16,0.2168794
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.128,16,0.2203893
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.256,16,0.2265277
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.512,16,0.2376852
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,1.024,16,0.2569929
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.016,0.1,0.0308341
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.032,0.1,0.0314870
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.064,0.1,0.0322633
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.128,0.1,0.0341181
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.256,0.1,0.0381758
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.512,0.1,0.0467640
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,1.024,0.1,0.0653048
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.016,0.5, 0.0308098
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.032,0.5,0.0315749
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.064,0.5,0.0324040
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.128,0.5,0.0342580
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.256,0.5,0.0382749
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.512,0.5,0.0468761
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,1.024,0.5,0.0653545
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.016,1, 0.0315061
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.032,1,0.0320343
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.064,1,0.0329781
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.128,1,0.0348187
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.256,1,0.0388045
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.512,1,0.0472966
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,1.024,1,0.0656366
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.016,2, 0.0344778
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.032,2,0.0350569
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.064,2,0.0359116
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.128,2,0.0375433
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.256,2,0.0412983
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.512,2,0.0495908
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,1.024,2,0.0672105
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.016,4, 0.0425689
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.032,4,0.0433273
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.064,4,0.0441835
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.128,4,0.0455778
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.256,4,0.0491309
