nom_voltage,nom_temperature,nom_process,related_pin CLK,timing_type rising_edge,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,0.1,0.0698049
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,0.1,0.0707338
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,0.1,0.0722260
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,0.1,0.0749903
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,0.1,0.0800801
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,0.1,0.0890607
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,0.1,0.1049915
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,0.25, 0.0723615
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,0.25,0.0732941
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,0.25,0.0747707
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,0.25,0.0775378
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,0.25,0.0826349
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,0.25,0.0916060
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,0.25,0.1075368
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,0.5, 0.0750395
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,0.5,0.0759814
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,0.5,0.0774645
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,0.5,0.0802221
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,0.5,0.0852884
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,0.5,0.0942388
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,0.5,0.1101824
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,1, 0.0772294
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,1,0.0781458
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,1,0.0796041
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,1,0.0823731
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,1,0.0873979
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,1,0.0963256
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,1,0.1122130
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,2, 0.0764370
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,2,0.0773883
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,2,0.0789000
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,2,0.0817162
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,2,0.0867000
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,2,0.0956443
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,2,0.1115288
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,4, 0.0679312
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,4,0.0689116
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,4,0.0704797
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,4,0.0735179
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,4,0.0788479
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,4,0.0880411
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,4,0.1044029
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,8, 0.0428176
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,8,0.0439729
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,8,0.0456821
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,8,0.0489096
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,8,0.0547493
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,8,0.0648542
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,8,0.0826433
0.850000,125.000000,1.01,1,1,0,1,0,0,0.016,0.1,0.0251819
0.850000,125.000000,1.01,1,1,0,1,0,0,0.032,0.1,0.0259268
0.850000,125.000000,1.01,1,1,0,1,0,0,0.064,0.1,0.0270746
0.850000,125.000000,1.01,1,1,0,1,0,0,0.128,0.1,0.0295697
0.850000,125.000000,1.01,1,1,0,1,0,0,0.256,0.1,0.0343707
0.850000,125.000000,1.01,1,1,0,1,0,0,0.512,0.1,0.0440027
0.850000,125.000000,1.01,1,1,0,1,0,0,1.024,0.1,0.0627830
0.850000,125.000000,1.01,1,1,0,1,0,0,0.016,0.25, 0.0252413
0.850000,125.000000,1.01,1,1,0,1,0,0,0.032,0.25,0.0259194
0.850000,125.000000,1.01,1,1,0,1,0,0,0.064,0.25,0.0271025
0.850000,125.000000,1.01,1,1,0,1,0,0,0.128,0.25,0.0295709
0.850000,125.000000,1.01,1,1,0,1,0,0,0.256,0.25,0.0344013
0.850000,125.000000,1.01,1,1,0,1,0,0,0.512,0.25,0.0440225
0.850000,125.000000,1.01,1,1,0,1,0,0,1.024,0.25,0.0628416
0.850000,125.000000,1.01,1,1,0,1,0,0,0.016,0.5, 0.0253128
0.850000,125.000000,1.01,1,1,0,1,0,0,0.032,0.5,0.0260520
0.850000,125.000000,1.01,1,1,0,1,0,0,0.064,0.5,0.0271874
0.850000,125.000000,1.01,1,1,0,1,0,0,0.128,0.5,0.0296458
0.850000,125.000000,1.01,1,1,0,1,0,0,0.256,0.5,0.0345743
0.850000,125.000000,1.01,1,1,0,1,0,0,0.512,0.5,0.0441370
0.850000,125.000000,1.01,1,1,0,1,0,0,1.024,0.5,0.0628809
0.850000,125.000000,1.01,1,1,0,1,0,0,0.016,1, 0.0259451
0.850000,125.000000,1.01,1,1,0,1,0,0,0.032,1,0.0266365
0.850000,125.000000,1.01,1,1,0,1,0,0,0.064,1,0.0279120
0.850000,125.000000,1.01,1,1,0,1,0,0,0.128,1,0.0302073
0.850000,125.000000,1.01,1,1,0,1,0,0,0.256,1,0.0349950
0.850000,125.000000,1.01,1,1,0,1,0,0,0.512,1,0.0445726
0.850000,125.000000,1.01,1,1,0,1,0,0,1.024,1,0.0632785
0.850000,125.000000,1.01,1,1,0,1,0,0,0.016,2, 0.0283211
0.850000,125.000000,1.01,1,1,0,1,0,0,0.032,2,0.0290341
0.850000,125.000000,1.01,1,1,0,1,0,0,0.064,2,0.0302188
0.850000,125.000000,1.01,1,1,0,1,0,0,0.128,2,0.0325521
0.850000,125.000000,1.01,1,1,0,1,0,0,0.256,2,0.0371700
0.850000,125.000000,1.01,1,1,0,1,0,0,0.512,2,0.0464158
0.850000,125.000000,1.01,1,1,0,1,0,0,1.024,2,0.0649266
0.850000,125.000000,1.01,1,1,0,1,0,0,0.016,4, 0.0342647
0.850000,125.000000,1.01,1,1,0,1,0,0,0.032,4,0.0348501
0.850000,125.000000,1.01,1,1,0,1,0,0,0.064,4,0.0360195
0.850000,125.000000,1.01,1,1,0,1,0,0,0.128,4,0.0387686
0.850000,125.000000,1.01,1,1,0,1,0,0,0.256,4,0.0431910
0.850000,125.000000,1.01,1,1,0,1,0,0,0.512,4,0.0525000
0.850000,125.000000,1.01,1,1,0,1,0,0,1.024,4,0.0708812
0.850000,125.000000,1.01,1,1,0,1,0,0,0.016,8, 0.0487670
0.850000,125.000000,1.01,1,1,0,1,0,0,0.032,8,0.0494886
0.850000,125.000000,1.01,1,1,0,1,0,0,0.064,8,0.0505743
0.850000,125.000000,1.01,1,1,0,1,0,0,0.128,8,0.0527439
0.850000,125.000000,1.01,1,1,0,1,0,0,0.256,8,0.0574543
0.850000,125.000000,1.01,1,1,0,1,0,0,0.512,8,0.0669127
0.850000,125.000000,1.01,1,1,0,1,0,0,1.024,8,0.0857002
0.850000,125.000000,1.01,1,1,0,0,1,0,0.016,0.1,0.0709770
0.850000,125.000000,1.01,1,1,0,0,1,0,0.032,0.1,0.0721143
0.850000,125.000000,1.01,1,1,0,0,1,0,0.064,0.1,0.0739428
0.850000,125.000000,1.01,1,1,0,0,1,0,0.128,0.1,0.0774556
0.850000,125.000000,1.01,1,1,0,0,1,0,0.256,0.1,0.0838725
0.850000,125.000000,1.01,1,1,0,0,1,0,0.512,0.1,0.0953861
0.850000,125.000000,1.01,1,1,0,0,1,0,1.024,0.1,0.1153510
0.850000,125.000000,1.01,1,1,0,0,1,0,0.016,0.25, 0.0739585
0.850000,125.000000,1.01,1,1,0,0,1,0,0.032,0.25,0.0750965
0.850000,125.000000,1.01,1,1,0,0,1,0,0.064,0.25,0.0769258
0.850000,125.000000,1.01,1,1,0,0,1,0,0.128,0.25,0.0804346
0.850000,125.000000,1.01,1,1,0,0,1,0,0.256,0.25,0.0868499
0.850000,125.000000,1.01,1,1,0,0,1,0,0.512,0.25,0.0983497
0.850000,125.000000,1.01,1,1,0,0,1,0,1.024,0.25,0.1182918
0.850000,125.000000,1.01,1,1,0,0,1,0,0.016,0.5, 0.0785271
