nom_voltage,nom_temperature,nom_process,related_pin A1,related_pin A2,related_pin A3,related_pin A4,related_pin A5,related_pin A6,timing_type combinational,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.016,0.1,0.0679656
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.032,0.1,0.0689905
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.064,0.1,0.0706340
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.128,0.1,0.0737079
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.256,0.1,0.0792344
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.512,0.1,0.0888424
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,1.024,0.1,0.1053815
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.016,0.25, 0.0705173
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.032,0.25,0.0714903
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.064,0.25,0.0732321
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.128,0.25,0.0763528
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.256,0.25,0.0818906
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.512,0.25,0.0913476
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,1.024,0.25,0.1078345
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.016,0.5, 0.0777734
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.032,0.5,0.0787556
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.064,0.5,0.0803480
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.128,0.5,0.0833179
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.256,0.5,0.0887185
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.512,0.5,0.0981378
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,1.024,0.5,0.1145592
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.016,1, 0.0897753
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.032,1,0.0908057
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.064,1,0.0924026
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.128,1,0.0954949
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.256,1,0.1010241
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.512,1,0.1105336
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,1.024,1,0.1269917
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.016,2, 0.1061005
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.032,2,0.1071512
