nom_voltage,nom_temperature,nom_process,related_pin A,related_pin EN,timing_type combinational,timing_type three_state_enable,timing_type three_state_disable,timing_sense positive_unate,timing_sense negative_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.016,1.3077,0.0385092
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.032,1.3077,0.0391488
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.064,1.3077,0.0400439
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.128,1.3077,0.0417851
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.256,1.3077,0.0449809
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.512,1.3077,0.0506488
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,1.024,1.3077,0.0603712
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.016,1.4577, 0.0424809
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.032,1.4577,0.0430678
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.064,1.4577,0.0440219
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.128,1.4577,0.0458488
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.256,1.4577,0.0493119
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.512,1.4577,0.0552652
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,1.024,1.4577,0.0657004
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.016,1.7077, 0.0461261
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.032,1.7077,0.0467587
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.064,1.7077,0.0477980
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.128,1.7077,0.0498236
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.256,1.7077,0.0536342
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.512,1.7077,0.0605054
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,1.024,1.7077,0.0726163
