nom_voltage,nom_temperature,nom_process,related_pin INOUT1,timing_type combinational,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.016,0.707016,0.0037947
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.032,0.707016,0.0045902
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.064,0.707016,0.0058944
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.128,0.707016,0.0081014
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.256,0.707016,0.0117068
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.512,0.707016,0.0171507
0.850000,125.000000,1.01,1,1,1,1,0,0,0,1.024,0.707016,0.0266598
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.016,0.857016, 0.0036278
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.032,0.857016,0.0044548
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.064,0.857016,0.0058797
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.128,0.857016,0.0084311
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.256,0.857016,0.0130392
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.512,0.857016,0.0205384
0.850000,125.000000,1.01,1,1,1,1,0,0,0,1.024,0.857016,0.0316270
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.016,1.10702, 0.0033234
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.032,1.10702,0.0040985
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.064,1.10702,0.0053241
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.128,1.10702,0.0079990
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.256,1.10702,0.0132539
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.512,1.10702,0.0225866
0.850000,125.000000,1.01,1,1,1,1,0,0,0,1.024,1.10702,0.0378264
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.016,1.60702, 0.0031785
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.032,1.60702,0.0038733
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.064,1.60702,0.0050272
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.128,1.60702,0.0074902
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.256,1.60702,0.0123563
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.512,1.60702,0.0225114
0.850000,125.000000,1.01,1,1,1,1,0,0,0,1.024,1.60702,0.0419189
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.016,2.60702, 0.0029674
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.032,2.60702,0.0036457
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.064,2.60702,0.0047191
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.128,2.60702,0.0072843
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.256,2.60702,0.0116295
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.512,2.60702,0.0216374
0.850000,125.000000,1.01,1,1,1,1,0,0,0,1.024,2.60702,0.0416562
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.016,4.60702, 0.0030337
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.032,4.60702,0.0036408
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.064,4.60702,0.0051905
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.128,4.60702,0.0073206
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.256,4.60702,0.0113100
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.512,4.60702,0.0208901
0.850000,125.000000,1.01,1,1,1,1,0,0,0,1.024,4.60702,0.0402057
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.016,8.60702, 0.0033440
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.032,8.60702,0.0040557
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.064,8.60702,0.0052743
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.128,8.60702,0.0077060
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.256,8.60702,0.0113209
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.512,8.60702,0.0207140
0.850000,125.000000,1.01,1,1,1,1,0,0,0,1.024,8.60702,0.0379710
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.016,0.707016,0.0172681
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.032,0.707016,0.0176382
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.064,0.707016,0.0182027
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.128,0.707016,0.0192575
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.256,0.707016,0.0219538
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.512,0.707016,0.0285331
