nom_voltage,nom_temperature,nom_process,related_pin CLK,timing_type setup_falling,rise_constraint,fall_constraint,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0160000,0.0390764
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0160000,0.0425686
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0160000,0.0459556
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0160000,0.0561326
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0160000,0.0651058
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0160000,0.0757975
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0160000,0.0901496
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0320000, 0.0313271
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0320000,0.0350601
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0320000,0.0423574
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0320000,0.0486010
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0320000,0.0578933
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0320000,0.0652180
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0320000,0.0749191
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0640000, 0.0241295
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0640000,0.0279851
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0640000,0.0314527
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0640000,0.0380361
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0640000,0.0471109
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0640000,0.0538986
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0640000,0.0561005
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.1280000, 0.0137417
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.1280000,0.0173259
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.1280000,0.0201926
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.1280000,0.0274750
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.1280000,0.0326716
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.1280000,0.0395024
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.1280000,0.0340707
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.2560000, 0.0005743
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.2560000,0.0041414
