nom_voltage,nom_temperature,nom_process,related_pin AP,related_pin INOUT1,timing_type three_state_enable,timing_type three_state_disable,timing_type combinational,timing_sense negative_unate,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.016,1.91736,0.0014101
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.032,1.91736,0.0028519
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.064,1.91736,0.0041797
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.128,1.91736,0.0062912
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.256,1.91736,0.0096071
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.512,1.91736,0.0145826
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,1.024,1.91736,0.0225536
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.016,2.81736, -0.0019261
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.032,2.81736,0.0004706
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.064,2.81736,0.0025320
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.128,2.81736,0.0057434
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.256,2.81736,0.0106134
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.512,2.81736,0.0176799
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,1.024,2.81736,0.0279537
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.016,3.81736, -0.0116267
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.032,3.81736,-0.0077017
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.064,3.81736,-0.0042914
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.128,3.81736,0.0009720
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.256,3.81736,0.0084559
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.512,3.81736,0.0189606
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,1.024,3.81736,0.0337524
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.016,5.81736, -0.0364770
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.032,5.81736,-0.0296317
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.064,5.81736,-0.0237549
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.128,5.81736,-0.0149753
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.256,5.81736,-0.0030942
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.512,5.81736,0.0135146
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,1.024,5.81736,0.0358773
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.016,9.81736, -0.0962941
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.032,9.81736,-0.0841883
