nom_voltage,nom_temperature,nom_process,related_pin A,related_pin B,related_pin CI,timing_type combinational,timing_sense negative_unate,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.016,0.1,0.0671490
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.032,0.1,0.0680077
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.064,0.1,0.0693786
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.128,0.1,0.0719278
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.256,0.1,0.0766138
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.512,0.1,0.0849632
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,1.024,0.1,0.1000009
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.016,0.25, 0.0717212
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.032,0.25,0.0725723
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.064,0.25,0.0739470
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.128,0.25,0.0764975
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.256,0.25,0.0811812
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.512,0.25,0.0895410
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,1.024,0.25,0.1045596
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.016,0.5, 0.0802162
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.032,0.5,0.0810861
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.064,0.5,0.0824448
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.128,0.5,0.0850144
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.256,0.5,0.0896677
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.512,0.5,0.0979787
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,1.024,0.5,0.1129729
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.016,1, 0.0940227
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.032,1,0.0949058
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.064,1,0.0963164
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.128,1,0.0988796
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.256,1,0.1035931
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.512,1,0.1118940
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,1.024,1,0.1268810
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.016,2, 0.1143315
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.032,2,0.1152414
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.064,2,0.1167135
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.128,2,0.1194891
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.256,2,0.1244920
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.512,2,0.1331871
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,1.024,2,0.1483970
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.016,4, 0.1429166
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.032,4,0.1439145
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.064,4,0.1456209
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.128,4,0.1487249
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.256,4,0.1542848
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.512,4,0.1638729
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,1.024,4,0.1803598
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.016,8, 0.1861151
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.032,8,0.1872431
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.064,8,0.1890667
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.128,8,0.1925798
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.256,8,0.1989516
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.512,8,0.2100480
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,1.024,8,0.2293390
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.016,0.1,0.0242603
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.032,0.1,0.0248339
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.064,0.1,0.0257631
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.128,0.1,0.0278451
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.256,0.1,0.0320473
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.512,0.1,0.0410042
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,1.024,0.1,0.0599676
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.016,0.25, 0.0243517
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.032,0.25,0.0249228
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.064,0.25,0.0258954
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.128,0.25,0.0279608
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.256,0.25,0.0321085
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.512,0.25,0.0410612
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,1.024,0.25,0.0599417
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.016,0.5, 0.0251677
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.032,0.5,0.0257962
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.064,0.5,0.0267140
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.128,0.5,0.0286939
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.256,0.5,0.0329892
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.512,0.5,0.0416489
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,1.024,0.5,0.0604641
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.016,1, 0.0285703
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.032,1,0.0290956
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.064,1,0.0299339
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.128,1,0.0317770
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.256,1,0.0356732
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.512,1,0.0440793
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,1.024,1,0.0621637
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.016,2, 0.0364484
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.032,2,0.0368700
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.064,2,0.0377670
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.128,2,0.0397211
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.256,2,0.0433404
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.512,2,0.0511077
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,1.024,2,0.0678809
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.016,4, 0.0520052
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.032,4,0.0524602
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.064,4,0.0534240
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.128,4,0.0549950
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.256,4,0.0588773
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.512,4,0.0656326
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,1.024,4,0.0815001
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.016,8, 0.0801458
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.032,8,0.0811428
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.064,8,0.0820717
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.128,8,0.0839844
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.256,8,0.0879849
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.512,8,0.0945932
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,1.024,8,0.1099868
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.016,0.1,0.0696371
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.032,0.1,0.0706234
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.064,0.1,0.0722152
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.128,0.1,0.0751543
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.256,0.1,0.0804763
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.512,0.1,0.0898516
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,1.024,0.1,0.1064055
