nom_voltage,nom_temperature,nom_process,related_pin A1,related_pin A2,timing_type combinational,timing_sense positive_unate,timing_sense negative_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.016,0.1,0.0369705
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.032,0.1,0.0378916
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.064,0.1,0.0393430
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.128,0.1,0.0420695
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.256,0.1,0.0469776
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.512,0.1,0.0556302
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,1.024,0.1,0.0707837
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.016,0.25, 0.0404520
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.032,0.25,0.0413323
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.064,0.25,0.0427436
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.128,0.25,0.0453753
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.256,0.25,0.0501583
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.512,0.25,0.0586925
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,1.024,0.25,0.0737307
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.016,0.5, 0.0453983
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.032,0.5,0.0463125
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.064,0.5,0.0477596
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.128,0.5,0.0504850
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.256,0.5,0.0554177
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.512,0.5,0.0640885
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,1.024,0.5,0.0792125
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.016,1, 0.0512202
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.032,1,0.0522895
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.064,1,0.0538355
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.128,1,0.0567756
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.256,1,0.0621428
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.512,1,0.0713418
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,1.024,1,0.0873193
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.016,2, 0.0567869
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.032,2,0.0578498
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.064,2,0.0595750
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.128,2,0.0629847
