nom_voltage,nom_temperature,nom_process,related_pin A1,related_pin A2,related_pin A3,related_pin A4,related_pin A5,timing_type combinational,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.016,1, 0.0347671
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.032,1,0.0354559
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.064,1,0.0364323
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.128,1,0.0383305
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.256,1,0.0424090
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.512,1,0.0506055
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,1.024,1,0.0682525
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.016,2, 0.0423483
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.032,2,0.0430040
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.064,2,0.0439424
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.128,2,0.0459514
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.256,2,0.0496234
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.512,2,0.0577490
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,1.024,2,0.0742864
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.016,4, 0.0592014
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.032,4,0.0597717
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.064,4,0.0605107
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.128,4,0.0620459
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.256,4,0.0653698
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.512,4,0.0733973
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,1.024,4,0.0893703
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.016,8, 0.0893792
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.032,8,0.0900358
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.064,8,0.0912580
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.128,8,0.0928601
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.256,8,0.0962364
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.512,8,0.1030220
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,1.024,8,0.1193808
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.016,16, 0.1459046
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.032,16,0.1465476
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.064,16,0.1473593
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.128,16,0.1484919
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.256,16,0.1514426
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.512,16,0.1585030
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,1.024,16,0.1758978
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.016,0.1,0.0503569
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.032,0.1,0.0516399
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.064,0.1,0.0532284
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.128,0.1,0.0562922
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.256,0.1,0.0619227
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.512,0.1,0.0718412
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,1.024,0.1,0.0892336
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.016,0.5, 0.0556698
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.032,0.5,0.0569483
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.064,0.5,0.0585340
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.128,0.5,0.0615178
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.256,0.5,0.0670800
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.512,0.5,0.0769066
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,1.024,0.5,0.0943496
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.016,1, 0.0670216
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.032,1,0.0682864
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.064,1,0.0698052
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.128,1,0.0727003
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.256,1,0.0780499
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.512,1,0.0876174
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,1.024,1,0.1045624
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.016,2, 0.0860028
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.032,2,0.0872526
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.064,2,0.0888059
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.128,2,0.0919221
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.256,2,0.0975442
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.512,2,0.1074907
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,1.024,2,0.1247433
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.016,4, 0.1165209
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.032,4,0.1178573
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.064,4,0.1191991
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.128,4,0.1223049
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.256,4,0.1287023
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.512,4,0.1397246
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,1.024,4,0.1585111
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.016,8, 0.1678755
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.032,8,0.1692677
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.064,8,0.1710049
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.128,8,0.1744413
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.256,8,0.1810266
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.512,8,0.1935913
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,1.024,8,0.2151523
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.016,16, 0.2565596
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.032,16,0.2580260
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.064,16,0.2598604
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.128,16,0.2635240
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.256,16,0.2705869
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,0.512,16,0.2841787
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,1,0,1.024,16,0.3096196
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,0,1,0.016,0.1,0.0305805
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,0,1,0.032,0.1,0.0311006
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,0,1,0.064,0.1,0.0319516
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,0,1,0.128,0.1,0.0339304
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,0,1,0.256,0.1,0.0382150
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,0,1,0.512,0.1,0.0476407
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,0,1,1.024,0.1,0.0682482
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,0,1,0.016,0.5, 0.0305590
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,0,1,0.032,0.5,0.0312151
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,0,1,0.064,0.5,0.0318460
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,0,1,0.128,0.5,0.0339385
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,0,1,0.256,0.5,0.0381768
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,0,1,0.512,0.5,0.0476964
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,0,1,1.024,0.5,0.0684108
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,0,1,0.016,1, 0.0327658
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,0,1,0.032,1,0.0333823
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,0,1,0.064,1,0.0341985
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,0,1,0.128,1,0.0359690
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,0,1,0.256,1,0.0400667
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,0,1,0.512,1,0.0489247
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,0,1,1.024,1,0.0691371
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,0,1,0.016,2, 0.0438471
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,0,1,0.032,2,0.0444263
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,0,1,0.064,2,0.0450612
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,0,1,0.128,2,0.0466277
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,0,1,0.256,2,0.0500356
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,0,1,0.512,2,0.0579929
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,0,1,1.024,2,0.0759795
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,0,1,0.016,4, 0.0653236
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,0,1,0.032,4,0.0654020
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,0,1,0.064,4,0.0656117
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,0,1,0.128,4,0.0670167
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,0,1,0.256,4,0.0698667
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,0,1,0.512,4,0.0776895
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,0,1,1.024,4,0.0938342
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,0,1,0.016,8, 0.1044512
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,0,1,0.032,8,0.1047374
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,0,1,0.064,8,0.1052311
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,0,1,0.128,8,0.1064933
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,0,1,0.256,8,0.1076254
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,0,1,0.512,8,0.1143184
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,0,1,1.024,8,0.1303600
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,0,1,0.016,16, 0.1738034
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,0,1,0.032,16,0.1741171
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,0,1,0.064,16,0.1745277
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,0,1,0.128,16,0.1773106
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,0,1,0.256,16,0.1789195
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,0,1,0.512,16,0.1846328
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,0,0,1,1.024,16,0.1983601
0.850000,125.000000,1.01,0,1,0,0,0,1,1,1,0,0,0,0.016,0.1,0.0481688
0.850000,125.000000,1.01,0,1,0,0,0,1,1,1,0,0,0,0.032,0.1,0.0493709
0.850000,125.000000,1.01,0,1,0,0,0,1,1,1,0,0,0,0.064,0.1,0.0507545
0.850000,125.000000,1.01,0,1,0,0,0,1,1,1,0,0,0,0.128,0.1,0.0533693
0.850000,125.000000,1.01,0,1,0,0,0,1,1,1,0,0,0,0.256,0.1,0.0582908
0.850000,125.000000,1.01,0,1,0,0,0,1,1,1,0,0,0,0.512,0.1,0.0670130
0.850000,125.000000,1.01,0,1,0,0,0,1,1,1,0,0,0,1.024,0.1,0.0824829
0.850000,125.000000,1.01,0,1,0,0,0,1,1,1,0,0,0,0.016,0.5, 0.0489870
0.850000,125.000000,1.01,0,1,0,0,0,1,1,1,0,0,0,0.032,0.5,0.0501162
0.850000,125.000000,1.01,0,1,0,0,0,1,1,1,0,0,0,0.064,0.5,0.0514662
0.850000,125.000000,1.01,0,1,0,0,0,1,1,1,0,0,0,0.128,0.5,0.0541223
0.850000,125.000000,1.01,0,1,0,0,0,1,1,1,0,0,0,0.256,0.5,0.0589764
0.850000,125.000000,1.01,0,1,0,0,0,1,1,1,0,0,0,0.512,0.5,0.0676728
0.850000,125.000000,1.01,0,1,0,0,0,1,1,1,0,0,0,1.024,0.5,0.0830739
0.850000,125.000000,1.01,0,1,0,0,0,1,1,1,0,0,0,0.016,1, 0.0500452
0.850000,125.000000,1.01,0,1,0,0,0,1,1,1,0,0,0,0.032,1,0.0511926
0.850000,125.000000,1.01,0,1,0,0,0,1,1,1,0,0,0,0.064,1,0.0525714
0.850000,125.000000,1.01,0,1,0,0,0,1,1,1,0,0,0,0.128,1,0.0552593
0.850000,125.000000,1.01,0,1,0,0,0,1,1,1,0,0,0,0.256,1,0.0601552
0.850000,125.000000,1.01,0,1,0,0,0,1,1,1,0,0,0,0.512,1,0.0689275
0.850000,125.000000,1.01,0,1,0,0,0,1,1,1,0,0,0,1.024,1,0.0843236
0.850000,125.000000,1.01,0,1,0,0,0,1,1,1,0,0,0,0.016,2, 0.0497813
0.850000,125.000000,1.01,0,1,0,0,0,1,1,1,0,0,0,0.032,2,0.0511302
0.850000,125.000000,1.01,0,1,0,0,0,1,1,1,0,0,0,0.064,2,0.0525603
0.850000,125.000000,1.01,0,1,0,0,0,1,1,1,0,0,0,0.128,2,0.0552888
0.850000,125.000000,1.01,0,1,0,0,0,1,1,1,0,0,0,0.256,2,0.0604812
0.850000,125.000000,1.01,0,1,0,0,0,1,1,1,0,0,0,0.512,2,0.0695330
0.850000,125.000000,1.01,0,1,0,0,0,1,1,1,0,0,0,1.024,2,0.0857173
0.850000,125.000000,1.01,0,1,0,0,0,1,1,1,0,0,0,0.016,4, 0.0433166
0.850000,125.000000,1.01,0,1,0,0,0,1,1,1,0,0,0,0.032,4,0.0446098
0.850000,125.000000,1.01,0,1,0,0,0,1,1,1,0,0,0,0.064,4,0.0461905
0.850000,125.000000,1.01,0,1,0,0,0,1,1,1,0,0,0,0.128,4,0.0494720
0.850000,125.000000,1.01,0,1,0,0,0,1,1,1,0,0,0,0.256,4,0.0550097
0.850000,125.000000,1.01,0,1,0,0,0,1,1,1,0,0,0,0.512,4,0.0652497
0.850000,125.000000,1.01,0,1,0,0,0,1,1,1,0,0,0,1.024,4,0.0832030
0.850000,125.000000,1.01,0,1,0,0,0,1,1,1,0,0,0,0.016,8, 0.0214628
0.850000,125.000000,1.01,0,1,0,0,0,1,1,1,0,0,0,0.032,8,0.0228516
0.850000,125.000000,1.01,0,1,0,0,0,1,1,1,0,0,0,0.064,8,0.0245743
0.850000,125.000000,1.01,0,1,0,0,0,1,1,1,0,0,0,0.128,8,0.0279373
0.850000,125.000000,1.01,0,1,0,0,0,1,1,1,0,0,0,0.256,8,0.0346765
0.850000,125.000000,1.01,0,1,0,0,0,1,1,1,0,0,0,0.512,8,0.0462644
0.850000,125.000000,1.01,0,1,0,0,0,1,1,1,0,0,0,1.024,8,0.0673455
0.850000,125.000000,1.01,0,1,0,0,0,1,1,1,0,0,0,0.016,16, -0.0343412
0.850000,125.000000,1.01,0,1,0,0,0,1,1,1,0,0,0,0.032,16,-0.0328123
0.850000,125.000000,1.01,0,1,0,0,0,1,1,1,0,0,0,0.064,16,-0.0309180
0.850000,125.000000,1.01,0,1,0,0,0,1,1,1,0,0,0,0.128,16,-0.0271761
0.850000,125.000000,1.01,0,1,0,0,0,1,1,1,0,0,0,0.256,16,-0.0195069
0.850000,125.000000,1.01,0,1,0,0,0,1,1,1,0,0,0,0.512,16,-0.0061192
0.850000,125.000000,1.01,0,1,0,0,0,1,1,1,0,0,0,1.024,16,0.0187567
0.850000,125.000000,1.01,0,1,0,0,0,1,1,0,1,0,0,0.016,0.1,0.0296996
0.850000,125.000000,1.01,0,1,0,0,0,1,1,0,1,0,0,0.032,0.1,0.0303524
0.850000,125.000000,1.01,0,1,0,0,0,1,1,0,1,0,0,0.064,0.1,0.0314066
0.850000,125.000000,1.01,0,1,0,0,0,1,1,0,1,0,0,0.128,0.1,0.0333855
0.850000,125.000000,1.01,0,1,0,0,0,1,1,0,1,0,0,0.256,0.1,0.0375744
0.850000,125.000000,1.01,0,1,0,0,0,1,1,0,1,0,0,0.512,0.1,0.0464263
0.850000,125.000000,1.01,0,1,0,0,0,1,1,0,1,0,0,1.024,0.1,0.0647823
0.850000,125.000000,1.01,0,1,0,0,0,1,1,0,1,0,0,0.016,0.5, 0.0300319
0.850000,125.000000,1.01,0,1,0,0,0,1,1,0,1,0,0,0.032,0.5,0.0305987
0.850000,125.000000,1.01,0,1,0,0,0,1,1,0,1,0,0,0.064,0.5,0.0316767
0.850000,125.000000,1.01,0,1,0,0,0,1,1,0,1,0,0,0.128,0.5,0.0335613
0.850000,125.000000,1.01,0,1,0,0,0,1,1,0,1,0,0,0.256,0.5,0.0379014
0.850000,125.000000,1.01,0,1,0,0,0,1,1,0,1,0,0,0.512,0.5,0.0466297
0.850000,125.000000,1.01,0,1,0,0,0,1,1,0,1,0,0,1.024,0.5,0.0650731
0.850000,125.000000,1.01,0,1,0,0,0,1,1,0,1,0,0,0.016,1, 0.0334313
0.850000,125.000000,1.01,0,1,0,0,0,1,1,0,1,0,0,0.032,1,0.0339429
0.850000,125.000000,1.01,0,1,0,0,0,1,1,0,1,0,0,0.064,1,0.0347851
0.850000,125.000000,1.01,0,1,0,0,0,1,1,0,1,0,0,0.128,1,0.0366746
0.850000,125.000000,1.01,0,1,0,0,0,1,1,0,1,0,0,0.256,1,0.0407495
0.850000,125.000000,1.01,0,1,0,0,0,1,1,0,1,0,0,0.512,1,0.0490553
0.850000,125.000000,1.01,0,1,0,0,0,1,1,0,1,0,0,1.024,1,0.0670515
0.850000,125.000000,1.01,0,1,0,0,0,1,1,0,1,0,0,0.016,2, 0.0426467
0.850000,125.000000,1.01,0,1,0,0,0,1,1,0,1,0,0,0.032,2,0.0431432
0.850000,125.000000,1.01,0,1,0,0,0,1,1,0,1,0,0,0.064,2,0.0439853
0.850000,125.000000,1.01,0,1,0,0,0,1,1,0,1,0,0,0.128,2,0.0457079
0.850000,125.000000,1.01,0,1,0,0,0,1,1,0,1,0,0,0.256,2,0.0495968
0.850000,125.000000,1.01,0,1,0,0,0,1,1,0,1,0,0,0.512,2,0.0579150
0.850000,125.000000,1.01,0,1,0,0,0,1,1,0,1,0,0,1.024,2,0.0750528
0.850000,125.000000,1.01,0,1,0,0,0,1,1,0,1,0,0,0.016,4, 0.0617449
0.850000,125.000000,1.01,0,1,0,0,0,1,1,0,1,0,0,0.032,4,0.0625030
0.850000,125.000000,1.01,0,1,0,0,0,1,1,0,1,0,0,0.064,4,0.0634585
0.850000,125.000000,1.01,0,1,0,0,0,1,1,0,1,0,0,0.128,4,0.0652435
0.850000,125.000000,1.01,0,1,0,0,0,1,1,0,1,0,0,0.256,4,0.0689687
0.850000,125.000000,1.01,0,1,0,0,0,1,1,0,1,0,0,0.512,4,0.0773606
0.850000,125.000000,1.01,0,1,0,0,0,1,1,0,1,0,0,1.024,4,0.0946341
0.850000,125.000000,1.01,0,1,0,0,0,1,1,0,1,0,0,0.016,8, 0.0987520
0.850000,125.000000,1.01,0,1,0,0,0,1,1,0,1,0,0,0.032,8,0.0994647
