nom_voltage,nom_temperature,nom_process,related_pin A0,related_pin A1,timing_type combinational,timing_sense negative_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.016,0.1,0.0364406
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.032,0.1,0.0371512
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.064,0.1,0.0382835
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.128,0.1,0.0403774
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.256,0.1,0.0442385
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.512,0.1,0.0512700
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,1.024,0.1,0.0643985
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.016,0.25, 0.0409251
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.032,0.25,0.0416311
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.064,0.25,0.0427659
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.128,0.25,0.0448619
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.256,0.25,0.0486810
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.512,0.25,0.0556731
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,1.024,0.25,0.0687430
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.016,0.5, 0.0472356
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.032,0.5,0.0479672
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.064,0.5,0.0491050
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.128,0.5,0.0512383
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.256,0.5,0.0551268
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.512,0.5,0.0621741
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,1.024,0.5,0.0752341
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.016,1, 0.0557448
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.032,1,0.0565245
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.064,1,0.0577672
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.128,1,0.0600888
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.256,1,0.0642055
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.512,1,0.0715398
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,1.024,1,0.0849080
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.016,2, 0.0664972
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.032,2,0.0673688
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.064,2,0.0687648
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.128,2,0.0713660
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.256,2,0.0761378
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.512,2,0.0842178
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,1.024,2,0.0986764
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.016,4, 0.0813954
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.032,4,0.0823935
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.064,4,0.0839844
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.128,4,0.0869719
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.256,4,0.0924315
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.512,4,0.1022699
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,1.024,4,0.1186701
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.016,8, 0.1035461
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.032,8,0.1046683
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.064,8,0.1064965
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.128,8,0.1100108
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.256,8,0.1165618
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.512,8,0.1281772
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,1.024,8,0.1483033
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.016,0.1,0.0121427
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.032,0.1,0.0127627
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.064,0.1,0.0137660
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.128,0.1,0.0158530
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.256,0.1,0.0201734
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.512,0.1,0.0292765
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,1.024,0.1,0.0485576
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.016,0.25, 0.0127484
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.032,0.25,0.0132898
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.064,0.25,0.0143188
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.128,0.25,0.0163813
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.256,0.25,0.0206032
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.512,0.25,0.0295606
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,1.024,0.25,0.0487293
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.016,0.5, 0.0147292
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.032,0.5,0.0152464
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.064,0.5,0.0161543
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.128,0.5,0.0181141
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.256,0.5,0.0221355
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.512,0.5,0.0306868
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,1.024,0.5,0.0493481
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.016,1, 0.0190554
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.032,1,0.0196303
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.064,1,0.0206092
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.128,1,0.0224891
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.256,1,0.0261793
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.512,1,0.0342355
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,1.024,1,0.0520057
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.016,2, 0.0274721
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.032,2,0.0279019
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.064,2,0.0288778
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.128,2,0.0307968
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.256,2,0.0345650
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.512,2,0.0424308
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,1.024,2,0.0591761
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.016,4, 0.0443093
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.032,4,0.0448555
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.064,4,0.0457736
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.128,4,0.0475910
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.256,4,0.0511698
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.512,4,0.0593689
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,1.024,4,0.0760246
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.016,8, 0.0765178
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.032,8,0.0770235
