nom_voltage,nom_temperature,nom_process,related_pin CLK,timing_type rising_edge,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,0.1,0.0750920
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,0.1,0.0764401
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,0.1,0.0780174
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,0.1,0.0811029
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,0.1,0.0865233
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,0.1,0.0961858
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,0.1,0.1129147
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,0.5, 0.0776329
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,0.5,0.0790030
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,0.5,0.0806372
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,0.5,0.0836349
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,0.5,0.0891083
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,0.5,0.0986974
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,0.5,0.1154482
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,1, 0.0803964
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,1,0.0817395
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,1,0.0833328
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,1,0.0863452
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,1,0.0917741
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,1,0.1013538
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,1,0.1181319
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,2, 0.0826184
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,2,0.0839361
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,2,0.0855296
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,2,0.0885458
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,2,0.0939624
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,2,0.1035215
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,2,0.1202186
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,4, 0.0821289
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,4,0.0834838
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,4,0.0851698
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,4,0.0881384
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,4,0.0935546
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,4,0.1030364
