nom_voltage,nom_temperature,nom_process,related_pin A1,related_pin A2,related_pin A3,timing_type combinational,timing_sense negative_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.016,0.1,0.0443772
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.032,0.1,0.0450848
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.064,0.1,0.0461391
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.128,0.1,0.0481523
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.256,0.1,0.0518662
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.512,0.1,0.0586964
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,1.024,0.1,0.0716586
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.016,0.25, 0.0479062
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.032,0.25,0.0485818
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.064,0.25,0.0496476
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.128,0.25,0.0516644
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.256,0.25,0.0553801
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.512,0.25,0.0621883
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,1.024,0.25,0.0751709
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.016,0.5, 0.0530061
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.032,0.5,0.0537621
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.064,0.5,0.0548185
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.128,0.5,0.0568311
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.256,0.5,0.0605454
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.512,0.5,0.0673903
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,1.024,0.5,0.0803311
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.016,1, 0.0593100
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.032,1,0.0600369
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.064,1,0.0612678
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.128,1,0.0633957
