nom_voltage,nom_temperature,nom_process,related_pin A1,related_pin A2,related_pin A3,timing_type combinational,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.016,0.1,0.0444068
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.032,0.1,0.0455624
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.064,0.1,0.0469770
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.128,0.1,0.0497461
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.256,0.1,0.0545114
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.512,0.1,0.0628908
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,1.024,0.1,0.0777854
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.016,0.5, 0.0483793
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.032,0.5,0.0495468
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.064,0.5,0.0509360
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.128,0.5,0.0535520
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.256,0.5,0.0582732
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.512,0.5,0.0666308
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,1.024,0.5,0.0814739
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.016,1, 0.0568134
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.032,1,0.0579622
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.064,1,0.0593361
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.128,1,0.0621180
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.256,1,0.0667523
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.512,1,0.0748295
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,1.024,1,0.0893281
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.016,2, 0.0679357
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.032,2,0.0690992
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.064,2,0.0705708
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.128,2,0.0733555
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.256,2,0.0783327
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.512,2,0.0869372
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,1.024,2,0.1018641
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.016,4, 0.0827784
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.032,4,0.0841152
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.064,4,0.0856909
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.128,4,0.0887646
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.256,4,0.0942182
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.512,4,0.1034995
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,1.024,4,0.1198551
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.016,8, 0.1023478
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.032,8,0.1036900
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.064,8,0.1053558
