nom_voltage,nom_temperature,nom_process,related_pin A0,related_pin B0,timing_type combinational,timing_sense negative_unate,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.016,0.1,0.0541474
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.032,0.1,0.0553408
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.064,0.1,0.0567222
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.128,0.1,0.0592775
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.256,0.1,0.0638277
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.512,0.1,0.0719049
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,1.024,0.1,0.0864027
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.016,0.5, 0.0595957
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.032,0.5,0.0607817
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.064,0.5,0.0621554
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.128,0.5,0.0647142
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.256,0.5,0.0692555
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.512,0.5,0.0773372
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,1.024,0.5,0.0918391
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.016,1, 0.0699549
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.032,1,0.0711282
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.064,1,0.0725162
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.128,1,0.0750894
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.256,1,0.0796744
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.512,1,0.0877439
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,1.024,1,0.1021692
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.016,2, 0.0864078
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.032,2,0.0876234
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.064,2,0.0890869
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.128,2,0.0917717
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.256,2,0.0965433
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.512,2,0.1048315
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,1.024,2,0.1194219
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.016,4, 0.1116187
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.032,4,0.1129187
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.064,4,0.1146236
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.128,4,0.1176012
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.256,4,0.1227612
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.512,4,0.1317526
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,1.024,4,0.1471959
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.016,8, 0.1509839
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.032,8,0.1524024
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.064,8,0.1541290
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.128,8,0.1573897
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.256,8,0.1633249
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.512,8,0.1739886
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,1.024,8,0.1912624
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.016,16, 0.2165974
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.032,16,0.2181227
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.064,16,0.2200137
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.128,16,0.2236831
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.256,16,0.2305076
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.512,16,0.2426724
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,1.024,16,0.2638003
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.016,0.1,0.0189108
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.032,0.1,0.0196767
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.064,0.1,0.0205785
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.128,0.1,0.0226127
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.256,0.1,0.0268166
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.512,0.1,0.0357992
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,1.024,0.1,0.0548750
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.016,0.5, 0.0191642
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.032,0.5,0.0198902
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.064,0.5,0.0208755
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.128,0.5,0.0229017
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.256,0.5,0.0271180
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.512,0.5,0.0359280
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,1.024,0.5,0.0549561
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.016,1, 0.0211198
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.032,1,0.0217612
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.064,1,0.0226326
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.128,1,0.0246479
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.256,1,0.0286321
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.512,1,0.0371638
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,1.024,1,0.0556933
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.016,2, 0.0261581
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.032,2,0.0267411
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.064,2,0.0274675
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.128,2,0.0293171
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.256,2,0.0331373
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.512,2,0.0410016
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,1.024,2,0.0583696
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.016,4, 0.0360496
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.032,4,0.0366680
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.064,4,0.0377486
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.128,4,0.0396681
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.256,4,0.0432448
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.512,4,0.0504861
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,1.024,4,0.0665299
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.016,8, 0.0541772
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.032,8,0.0551356
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.064,8,0.0559835
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.128,8,0.0578438
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.256,8,0.0613626
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.512,8,0.0693274
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,1.024,8,0.0844241
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.016,16, 0.0890271
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.032,16,0.0895985
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.064,16,0.0905253
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.128,16,0.0927002
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.256,16,0.0966348
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,0.512,16,0.1040364
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0,1.024,16,0.1208323
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.016,0.1,0.0580840
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.032,0.1,0.0595002
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.064,0.1,0.0611566
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.128,0.1,0.0641516
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.256,0.1,0.0695529
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.512,0.1,0.0787532
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,1.024,0.1,0.0948975
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.016,0.5, 0.0594661
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.032,0.5,0.0608524
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.064,0.5,0.0624916
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.128,0.5,0.0655247
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.256,0.5,0.0709242
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.512,0.5,0.0801373
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,1.024,0.5,0.0962808
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.016,1, 0.0617119
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.032,1,0.0630999
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.064,1,0.0647295
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.128,1,0.0677709
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.256,1,0.0731684
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.512,1,0.0824419
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,1.024,1,0.0986049
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.016,2, 0.0636786
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.032,2,0.0651614
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0,0.064,2,0.0668049
