nom_voltage,nom_temperature,nom_process,related_pin A1,related_pin A2,related_pin A3,related_pin A4,timing_type combinational,timing_sense negative_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.064,1,0.0199597
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.128,1,0.0216674
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.256,1,0.0254089
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.512,1,0.0336834
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,1.024,1,0.0521691
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.016,2, 0.0230514
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.032,2,0.0235267
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.064,2,0.0241125
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.128,2,0.0257755
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.256,2,0.0290819
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.512,2,0.0367405
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,1.024,2,0.0542001
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.016,4, 0.0313003
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.032,4,0.0317419
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.064,4,0.0325463
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.128,4,0.0339865
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.256,4,0.0370659
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.512,4,0.0441674
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,1.024,4,0.0599323
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.016,8, 0.0457955
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.032,8,0.0467243
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.064,8,0.0474472
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.128,8,0.0489831
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.256,8,0.0518768
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.512,8,0.0589730
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,1.024,8,0.0737949
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.016,16, 0.0725937
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.032,16,0.0731913
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.064,16,0.0740496
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.128,16,0.0757604
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.256,16,0.0788540
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.512,16,0.0869085
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,1.024,16,0.1012933
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.016,0.1,0.0548287
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.032,0.1,0.0559394
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.064,0.1,0.0573295
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.128,0.1,0.0598346
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.256,0.1,0.0644583
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.512,0.1,0.0726774
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,1.024,0.1,0.0879119
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.016,0.5, 0.0577422
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.032,0.5,0.0588631
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.064,0.5,0.0602147
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.128,0.5,0.0627811
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.256,0.5,0.0673723
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.512,0.5,0.0755715
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,1.024,0.5,0.0907671
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.016,1, 0.0627917
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.032,1,0.0639220
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.064,1,0.0652985
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.128,1,0.0678019
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.256,1,0.0724019
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.512,1,0.0805954
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,1.024,1,0.0957623
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.016,2, 0.0684715
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.032,2,0.0696351
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.064,2,0.0709742
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.128,2,0.0735911
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.256,2,0.0783574
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.512,2,0.0868398
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,1.024,2,0.1019603
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.016,4, 0.0737016
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.032,4,0.0749702
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.064,4,0.0764707
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.128,4,0.0793009
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.256,4,0.0843028
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.512,4,0.0934946
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,1.024,4,0.1092365
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.016,8, 0.0753132
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.032,8,0.0768450
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.064,8,0.0784653
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.128,8,0.0815553
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.256,8,0.0872281
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.512,8,0.0976876
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,1.024,8,0.1151140
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.016,16, 0.0702334
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.032,16,0.0716842
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.064,16,0.0734060
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.128,16,0.0769222
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.256,16,0.0836133
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.512,16,0.0951867
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,1.024,16,0.1156826
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,0.016,0.1,0.0178272
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,0.032,0.1,0.0185811
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,0.064,0.1,0.0195591
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,0.128,0.1,0.0215843
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,0.256,0.1,0.0259871
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,0.512,0.1,0.0358805
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,1.024,0.1,0.0583846
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,0.016,0.5, 0.0180124
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,0.032,0.5,0.0186931
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,0.064,0.5,0.0196721
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,0.128,0.5,0.0217631
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,0.256,0.5,0.0262054
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,0.512,0.5,0.0359839
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,1.024,0.5,0.0584528
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,0.016,1, 0.0193148
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,0.032,1,0.0200433
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,0.064,1,0.0209462
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,0.128,1,0.0229985
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,0.256,1,0.0272714
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,0.512,1,0.0368451
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,1.024,1,0.0589815
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,0.016,2, 0.0230381
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,0.032,2,0.0236259
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,0.064,2,0.0245920
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,0.128,2,0.0264668
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,0.256,2,0.0305344
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,0.512,2,0.0395930
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,1.024,2,0.0605548
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,0.016,4, 0.0305235
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,0.032,4,0.0313744
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,0.064,4,0.0321073
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,0.128,4,0.0338087
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,0.256,4,0.0375488
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,0.512,4,0.0461783
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,1.024,4,0.0654408
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,0.016,8, 0.0448090
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,0.032,8,0.0454372
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,0.064,8,0.0462709
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,0.128,8,0.0479529
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,0.256,8,0.0525168
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,0.512,8,0.0601021
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,1.024,8,0.0770210
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,0.016,16, 0.0726888
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,0.032,16,0.0731489
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,0.064,16,0.0743348
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,0.128,16,0.0762422
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,0.256,16,0.0799339
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,0.512,16,0.0873729
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,1.024,16,0.1038650
0.850000,125.000000,1.01,0,1,0,0,1,1,1,0,0,0,0.016,0.1,0.0498053
0.850000,125.000000,1.01,0,1,0,0,1,1,1,0,0,0,0.032,0.1,0.0507493
0.850000,125.000000,1.01,0,1,0,0,1,1,1,0,0,0,0.064,0.1,0.0518509
0.850000,125.000000,1.01,0,1,0,0,1,1,1,0,0,0,0.128,0.1,0.0539112
0.850000,125.000000,1.01,0,1,0,0,1,1,1,0,0,0,0.256,0.1,0.0577696
0.850000,125.000000,1.01,0,1,0,0,1,1,1,0,0,0,0.512,0.1,0.0648096
0.850000,125.000000,1.01,0,1,0,0,1,1,1,0,0,0,1.024,0.1,0.0780677
0.850000,125.000000,1.01,0,1,0,0,1,1,1,0,0,0,0.016,0.5, 0.0550692
0.850000,125.000000,1.01,0,1,0,0,1,1,1,0,0,0,0.032,0.5,0.0559847
0.850000,125.000000,1.01,0,1,0,0,1,1,1,0,0,0,0.064,0.5,0.0570841
0.850000,125.000000,1.01,0,1,0,0,1,1,1,0,0,0,0.128,0.5,0.0591666
0.850000,125.000000,1.01,0,1,0,0,1,1,1,0,0,0,0.256,0.5,0.0630055
0.850000,125.000000,1.01,0,1,0,0,1,1,1,0,0,0,0.512,0.5,0.0700379
0.850000,125.000000,1.01,0,1,0,0,1,1,1,0,0,0,1.024,0.5,0.0832438
0.850000,125.000000,1.01,0,1,0,0,1,1,1,0,0,0,0.016,1, 0.0638435
0.850000,125.000000,1.01,0,1,0,0,1,1,1,0,0,0,0.032,1,0.0647397
0.850000,125.000000,1.01,0,1,0,0,1,1,1,0,0,0,0.064,1,0.0658417
0.850000,125.000000,1.01,0,1,0,0,1,1,1,0,0,0,0.128,1,0.0678959
0.850000,125.000000,1.01,0,1,0,0,1,1,1,0,0,0,0.256,1,0.0716927
0.850000,125.000000,1.01,0,1,0,0,1,1,1,0,0,0,0.512,1,0.0787134
0.850000,125.000000,1.01,0,1,0,0,1,1,1,0,0,0,1.024,1,0.0918013
0.850000,125.000000,1.01,0,1,0,0,1,1,1,0,0,0,0.016,2, 0.0763738
0.850000,125.000000,1.01,0,1,0,0,1,1,1,0,0,0,0.032,2,0.0773215
0.850000,125.000000,1.01,0,1,0,0,1,1,1,0,0,0,0.064,2,0.0784539
0.850000,125.000000,1.01,0,1,0,0,1,1,1,0,0,0,0.128,2,0.0805952
0.850000,125.000000,1.01,0,1,0,0,1,1,1,0,0,0,0.256,2,0.0845069
