nom_voltage,nom_temperature,nom_process,related_pin A1,related_pin A2,related_pin A3,related_pin A4,related_pin A5,related_pin A6,timing_type combinational,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.256,0.5,0.0510806
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.512,0.5,0.0593593
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,1.024,0.5,0.0762434
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.016,1, 0.0445137
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.032,1,0.0451746
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.064,1,0.0460697
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.128,1,0.0478390
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.256,1,0.0519073
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.512,1,0.0598900
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,1.024,1,0.0768682
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.016,2, 0.0534701
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.032,2,0.0539797
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.064,2,0.0546306
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.128,2,0.0561684
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.256,2,0.0595087
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.512,2,0.0669968
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,1.024,2,0.0823178
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.016,4, 0.0728776
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.032,4,0.0731505
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.064,4,0.0735347
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.128,4,0.0745023
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.256,4,0.0780205
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.512,4,0.0850665
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,1.024,4,0.0990265
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.016,8, 0.1074894
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.032,8,0.1077492
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.064,8,0.1085234
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.128,8,0.1101329
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.256,8,0.1141962
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.512,8,0.1204408
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,1.024,8,0.1331239
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.016,16, 0.1763639
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.032,16,0.1788361
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.064,16,0.1816429
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.128,16,0.1817519
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.256,16,0.1839923
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.512,16,0.1889901
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,1.024,16,0.2024171
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,1,0,0.016,0.1,0.0419462
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,1,0,0.032,0.1,0.0431627
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,1,0,0.064,0.1,0.0446209
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,1,0,0.128,0.1,0.0473782
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,1,0,0.256,0.1,0.0524524
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,1,0,0.512,0.1,0.0616143
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,1,0,1.024,0.1,0.0782757
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,1,0,0.016,0.5, 0.0471924
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,1,0,0.032,0.5,0.0483763
